thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00212240032851696,0.004273500293493271,0.0019564004614949226,1.0966221000999212,[-0.0875],[0.03166666666666667],[1],[0],[0],[1.0939154997467995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
0,0,0,[-0.08916666666666667],[0.03166666666666667],[1],[0],[0],[2.233231299556792],"[-0.0925, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09]","[0.03333333333333333, 0.03166666666666667, 0.03166666666666667, 0.03166666666666667, 0.030833333333333334, 0.029166666666666667]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.18270539958029985, 0.34951880015432835, 0.5329230995848775, 0.6997213996946812, 1.016745200380683, 1.2835470996797085]",,,,0,0,0,0,0,0,0,0,1.1117194006219506,,,,,,,,,,,,1.0975558999925852,1.1117194006219506,0.0007964000105857849,1.1117194006219506,1.3119807997718453,3.09692420065403,3.09692420065403,3.09692420065403,3.113718300126493,3.3313688999041915,2,normal,0.23323129955679178,[-0.08916666666666667],[0.03166666666666667],[1],[0],[0],[2.233231299556792],3.3317044004797935,3.3469956004992127,0.0002138996496796608,3.6473623998463154,4.848939700052142,"[-0.0925, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09]","[0.03333333333333333, 0.03166666666666667, 0.03166666666666667, 0.03166666666666667, 0.030833333333333334, 0.029166666666666667]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.18270539958029985, 0.34951880015432835, 0.5329230995848775, 0.6997213996946812, 1.016745200380683, 1.2835470996797085]",,,,,,,,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
0,0,0,,,,,,,,,,,,,space,4.442791299894452,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8509170999750495,4.864539700560272,4.864539700560272,9.374011300504208,space,4.442791299894452,None,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
0,0,0,[-0.11916666666666667],[0.075],[1],[0],[0],[2.2301090005785227],[],[],[],[],[],[],,,,1,0,1,0,0,0,0,0,9.376976200379431,,,,,,,,,,,,9.374284099787474,9.376976200379431,0.0002545006573200226,9.376976200379431,9.585501600056887,11.38715310022235,11.38715310022235,11.38715310022235,11.40347160026431,11.605084099806845,2,normal,0.23010900057852268,[-0.11916666666666667],[0.075],[1],[0],[0],[2.2301090005785227],11.605531300418079,11.620591499842703,0.0002741999924182892,11.920811399817467,13.022375900298357,[],[],[],[],[],[],,,,,,,,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
1,0,1,,,,,,,,,,,,,space,0.6851953007280827,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.023947800509632,13.038444600068033,13.038444600068033,13.740487299859524,space,0.6851953007280827,None,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
0,0,0,[-0.16083333333333333],[0.0775],[1],[0],[0],[2.317257300019264],[],[],[],[],[],[],,,,2,0,2,0,0,0,0,0,13.755552500486374,,,,,,,,,,,,13.741042899899185,13.755552500486374,0.0005257008597254753,13.755552500486374,13.955746499821544,15.740767300128937,15.740767300128937,15.740767300128937,15.7573273004964,16.05896790046245,2,normal,0.3172573000192642,[-0.16083333333333333],[0.0775],[1],[0],[0],[2.317257300019264],16.05938330013305,16.074136899784207,0.00027060043066740036,16.374501300044358,17.609525499865413,[],[],[],[],[],[],,,,,,,,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
2,0,2,,,,,,,,,,,,,space,0.5462734000757337,None,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.61128060054034,17.62561810016632,17.62561810016632,18.17742529977113,space,0.5462734000757337,None,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
0,0,0,[-0.19416666666666665],[0.09833333333333333],[1],[0],[0],[1.7504078997299075],[],[],[],[],[],[],,,,3,0,3,0,0,0,0,0,18.192641200497746,,,,,,,,,,,,18.178022500127554,18.192641200497746,0.0005712006241083145,18.192641200497746,18.392586899921298,19.660696300677955,19.660696300677955,19.660696300677955,19.67749289982021,19.929076599888504,1.473560600036505,surprise,0.2768472996934026,[-0.19416666666666665],[0.09833333333333333],[1],[0],[0],[1.7504078997299075],19.929605199955404,19.944157700054348,0.0003986004739999771,20.244405400007963,21.145759100094438,[],[],[],[],[],[],,,,,,,,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
3,0,3,,,,,,,,,,,,,space,2.3937787991017103,None,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14729390013963,21.161458500660956,21.161458500660956,23.565263600088656,space,2.3937787991017103,None,819093,001,2024-11-19_16h28.03.057,Foreperiod_task,2024.2.1post4,59.96490863126863,2024-11-19 16h28.06.204777 -0800,
