1.1066 	EXP 	PLUS_FP: autoDraw = True
1.1066 	EXP 	Photodiode_plus: autoDraw = True
1.1740 	DATA 	Mouse:  Left button up, pos=(791,443)
1.3070 	EXP 	Photodiode_plus: autoDraw = False
3.1072 	EXP 	PLUS_FP: autoDraw = False
3.1072 	EXP 	polygon: autoDraw = True
3.1072 	EXP 	Photodiode_polygon: autoDraw = True
3.1242 	EXP 	Photodiode_polygon: autoDraw = False
3.3908 	DATA 	Mouse: Left button down, pos=(792,448)
3.4071 	EXP 	PLUS_FP: autoDraw = False
3.4071 	EXP 	polygon: autoDraw = False
3.4071 	EXP 	Photodiode_polygon: autoDraw = False
3.4071 	EXP 	Photodiode_plus: autoDraw = False
3.4071 	EXP 	Photodiode_2: autoDraw = True
3.4739 	DATA 	Mouse:  Left button up, pos=(793,448)
3.7066 	EXP 	Photodiode_2: autoDraw = False
4.9248 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
4.9404 	EXP 	text: autoDraw = False
4.9404 	EXP 	Photodiode_2: autoDraw = False
4.9404 	EXP 	PLUS_FP: autoDraw = True
4.9404 	EXP 	Photodiode_plus: autoDraw = True
5.1405 	EXP 	Photodiode_plus: autoDraw = False
6.9238 	EXP 	PLUS_FP: autoDraw = False
6.9238 	EXP 	polygon: autoDraw = True
6.9238 	EXP 	Photodiode_polygon: autoDraw = True
6.9405 	EXP 	Photodiode_polygon: autoDraw = False
7.5077 	DATA 	Mouse: Left button down, pos=(798,460)
7.5239 	EXP 	PLUS_FP: autoDraw = False
7.5239 	EXP 	polygon: autoDraw = False
7.5239 	EXP 	Photodiode_polygon: autoDraw = False
7.5239 	EXP 	Photodiode_plus: autoDraw = False
7.5239 	EXP 	Photodiode_2: autoDraw = True
7.5902 	DATA 	Mouse:  Left button up, pos=(798,457)
7.8236 	EXP 	Photodiode_2: autoDraw = False
9.1415 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
9.1566 	EXP 	text: autoDraw = False
9.1566 	EXP 	Photodiode_2: autoDraw = False
9.1566 	EXP 	PLUS_FP: autoDraw = True
9.1566 	EXP 	Photodiode_plus: autoDraw = True
9.3569 	EXP 	Photodiode_plus: autoDraw = False
11.1572 	EXP 	PLUS_FP: autoDraw = False
11.1572 	EXP 	polygon: autoDraw = True
11.1572 	EXP 	Photodiode_polygon: autoDraw = True
11.1739 	EXP 	Photodiode_polygon: autoDraw = False
11.4911 	DATA 	Mouse: Left button down, pos=(806,474)
11.5073 	EXP 	PLUS_FP: autoDraw = False
11.5073 	EXP 	polygon: autoDraw = False
11.5073 	EXP 	Photodiode_polygon: autoDraw = False
11.5073 	EXP 	Photodiode_plus: autoDraw = False
11.5073 	EXP 	Photodiode_2: autoDraw = True
11.5901 	DATA 	Mouse:  Left button up, pos=(806,474)
11.8070 	EXP 	Photodiode_2: autoDraw = False
12.8248 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
12.8405 	EXP 	text: autoDraw = False
