12.7728 	EXP 	window1: mouseVisible = False
12.7731 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([ 0.  , -0.35]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.7731 	EXP 	window1: mouseVisible = False
12.7737 	EXP 	Created Photodiode_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_2', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
12.7737 	EXP 	window1: mouseVisible = False
12.7740 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0120 	EXP 	Welcome_Text: autoDraw = True
8.3540 	DATA 	Keypress: space
9.4716 	DATA 	Keypress: space
10.0564 	DATA 	Keypress: space
11.0064 	DATA 	Mouse: Left button down, pos=(855,705)
11.0080 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
11.0087 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
11.0217 	EXP 	Welcome_Text: autoDraw = False
11.0217 	EXP 	AVG: text = ''
11.0217 	EXP 	PLUS_FP: autoDraw = True
11.0217 	EXP 	AVG: autoDraw = True
11.0217 	EXP 	Photodiode_plus: autoDraw = True
11.1059 	DATA 	Mouse:  Left button up, pos=(855,705)
11.2221 	EXP 	Photodiode_plus: autoDraw = False
12.4233 	EXP 	PLUS_FP: autoDraw = False
12.4233 	EXP 	polygon: autoDraw = True
12.4233 	EXP 	Photodiode_polygon: autoDraw = True
12.4399 	EXP 	Photodiode_polygon: autoDraw = False
12.7240 	DATA 	Mouse: Left button down, pos=(816,693)
12.7402 	EXP 	PLUS_FP: autoDraw = False
12.7402 	EXP 	polygon: autoDraw = False
12.7402 	EXP 	AVG: autoDraw = False
12.7402 	EXP 	Photodiode_polygon: autoDraw = False
12.7402 	EXP 	Photodiode_plus: autoDraw = False
12.7402 	EXP 	Photodiode_2: autoDraw = True
12.8076 	DATA 	Mouse:  Left button up, pos=(816,693)
13.0404 	EXP 	Photodiode_2: autoDraw = False
14.3590 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
14.3749 	EXP 	text: autoDraw = False
14.3749 	EXP 	Photodiode_2: autoDraw = False
14.3749 	EXP 	AVG: text = ''
14.3749 	EXP 	PLUS_FP: autoDraw = True
14.3749 	EXP 	AVG: autoDraw = True
14.3749 	EXP 	Photodiode_plus: autoDraw = True
14.5749 	EXP 	Photodiode_plus: autoDraw = False
16.3600 	EXP 	PLUS_FP: autoDraw = False
16.3600 	EXP 	polygon: autoDraw = True
16.3600 	EXP 	Photodiode_polygon: autoDraw = True
16.3767 	EXP 	Photodiode_polygon: autoDraw = False
16.6436 	DATA 	Mouse: Left button down, pos=(816,693)
16.6600 	EXP 	PLUS_FP: autoDraw = False
16.6600 	EXP 	polygon: autoDraw = False
16.6600 	EXP 	AVG: autoDraw = False
16.6600 	EXP 	Photodiode_polygon: autoDraw = False
16.6600 	EXP 	Photodiode_plus: autoDraw = False
16.6600 	EXP 	Photodiode_2: autoDraw = True
16.7440 	DATA 	Mouse:  Left button up, pos=(816,693)
16.9606 	EXP 	Photodiode_2: autoDraw = False
17.9623 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
17.9780 	EXP 	text: autoDraw = False
17.9780 	EXP 	Photodiode_2: autoDraw = False
17.9780 	EXP 	AVG: text = ''
17.9780 	EXP 	PLUS_FP: autoDraw = True
17.9780 	EXP 	AVG: autoDraw = True
17.9780 	EXP 	Photodiode_plus: autoDraw = True
18.1781 	EXP 	Photodiode_plus: autoDraw = False
19.9630 	EXP 	PLUS_FP: autoDraw = False
19.9630 	EXP 	polygon: autoDraw = True
