thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00724230008199811,0.012390299933031201,0.006963500054553151,0.6021754001267254,[0.0725],[0.184375],[1],[0],[0],[0.5945435999892652],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
0,0,0,[0.0725],[0.184375],[1],[0],[0],[1.7999364000279456],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,0.6123862001113594,,,,,,,,,,,,0.6027206000871956,0.6123862001113594,0.0004929001443088055,0.6123862001113594,0.8125769000034779,2.0570950999390334,2.0570950999390334,2.0570950999390334,2.068245500093326,2.4033316001296043,1.4548305304925306,task,0.345105869535415,[0.0725],[0.184375],[1],[0],[0],[1.7999364000279456],2.403615100076422,2.4122800999321043,0.00012969993986189365,2.7122172000817955,3.6339676999486983,[],[],[],[],[],[],,,,,,,,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
0,0,0,,,,,,,,,,,,,space,1.4668473999481648,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.635406000073999,3.6501456000842154,3.6501456000842154,5.133056299993768,space,1.4668473999481648,None,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
0,0,0,[0.0725],[0.184375],[1],[0],[0],[2.391784699866548],[],[],[],[],[],[],,,,1,0,1,0,0,0,0,0,5.137527999933809,,,,,,,,,,,,5.13335940008983,5.137527999933809,0.00029440014623105526,5.137527999933809,5.334832400083542,7.135030700126663,7.135030700126663,7.135030700126663,7.146112899994478,7.525802500080317,2,task,0.3917846998665482,[0.0725],[0.184375],[1],[0],[0],[2.391784699866548],7.526072999928147,7.534763999981806,0.00011659995652735233,7.834802600089461,8.802126300055534,[],[],[],[],[],[],,,,,,,,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
1,0,1,,,,,,,,,,,,,space,0.41985610011033714,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.803847200004384,8.812414899934083,8.812414899934083,9.236750399926677,space,0.41985610011033714,None,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
0,0,0,[0.0725],[0.184375],[1],[0],[0],[1.7863967998418957],[],[],[],[],[],[],,,,2,0,2,0,0,0,0,0,9.245598900131881,,,,,,,,,,,,9.237433800008148,9.245598900131881,0.0006593000143766403,9.245598900131881,9.445815900107846,10.568412200082093,10.568412200082093,10.568412200082093,10.579524399945512,11.024826799985021,1.3372330998225364,task,0.44916370001935935,[0.0725],[0.184375],[1],[0],[0],[1.7863967998418957],11.025061100022867,11.034568500006571,0.0001167000737041235,11.33445359999314,12.257382099982351,[],[],[],[],[],[],,,,,,,,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
2,0,2,,,,,,,,,,,,,space,0.6312818999867886,None,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25823020003736,12.268025600118563,12.268025600118563,12.902907999930903,space,0.6312818999867886,None,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
0,0,0,[0.0725],[0.184375],[1],[0],[0],[2.3771119001321495],[],[],[],[],[],[],,,,3,0,3,0,0,0,0,0,12.91240209992975,,,,,,,,,,,,12.903385499957949,12.91240209992975,0.0004594000056385994,12.91240209992975,13.112479700008407,14.901417199987918,14.901417199987918,14.901417199987918,14.91257799998857,15.281325800111517,2,task,0.37711190013214946,[0.0725],[0.184375],[1],[0],[0],[2.3771119001321495],15.281556100118905,15.290192200103775,0.00011100014671683311,15.59038110007532,16.768867900129408,[],[],[],[],[],[],,,,,,,,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
3,0,3,,,,,,,,,,,,,space,0.5959888999350369,None,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.770528299966827,16.77921609999612,16.77921609999612,17.37991930008866,space,0.5959888999350369,None,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
0,0,0,[0.0725],[0.184375],[1],[0],[0],[1.0117190000601113],[],[],[],[],[],[],,,,4,0,4,0,0,0,0,0,17.39005900011398,,,,,,,,,,,,17.380258599994704,17.39005900011398,0.000323000131174922,17.39005900011398,17.590236900141463,17.877968300133944,17.877968300133944,17.877968300133944,17.889003900112584,18.39276299998164,0.5,task,0.5117190000601113,[0.0725],[0.184375],[1],[0],[0],[1.0117190000601113],18.393001799937338,18.401098400121555,0.00011530006304383278,18.70137479994446,19.935456299921498,[],[],[],[],[],[],,,,,,,,386105,001,2025-02-03_08h06.47.272,Foreperiod_task,2024.2.4,89.94949329954629,2025-02-03 08h06.52.849318 -0800,
