thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.00548179994802922,0.021673899958841503,0.005296099989209324,1.6731348999892361,[0.0016666666666666668],[-0.045],[1],[0],[0],[1.667377799982205],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908704,001,2025-01-28_11h31.02.925,Foreperiod_task,2024.2.1post4,61.20288142823345,2025-01-28 11h31.06.370130 -0800,
0,0,0,[0.0016666666666666668],[-0.045],[1],[0],[0],[1.7512391000054777],[],[],[],[],[],[],0,0,0,0,0,0,0,0,1.6882188000017777,,,,,,,,,,,,1.6736727999523282,1.6882188000017777,0.0004979000077582896,1.6882188000017777,1.8889948999858461,3.17202769999858,3.17202769999858,3.17202769999858,3.188576299988199,3.4253619999508373,1.485892066290237,task,0.2653470337152406,[0.0016666666666666668],[-0.045],[1],[0],[0],[1.7512391000054777],3.425645799958147,3.438838100002613,0.00018780003301799297,3.7388003999949433,4.774465799971949,[],[],[],[],[],[],908704,001,2025-01-28_11h31.02.925,Foreperiod_task,2024.2.1post4,61.20288142823345,2025-01-28 11h31.06.370130 -0800,
1,0,1,[0.0016666666666666668],[-0.045],[1],[0],[0],[1.7333567999885418],[],[],[],[],[],[],0,0,0,0,1,0,1,0,4.788963700004388,,,,,,,,,,,,4.774707399948966,4.788963700004388,0.00019799999427050352,4.788963700004388,4.9887287999736145,6.27238739997847,6.27238739997847,6.27238739997847,6.289462499960791,6.508495699963532,1.485892066290237,task,0.24746473369830468,[0.0016666666666666668],[-0.045],[1],[0],[0],[1.7333567999885418],6.508733199967537,6.5222206999897026,0.0001564000267535448,6.822373699978925,7.824733299959917,[],[],[],[],[],[],908704,001,2025-01-28_11h31.02.925,Foreperiod_task,2024.2.1post4,61.20288142823345,2025-01-28 11h31.06.370130 -0800,
2,0,2,,,,,,,,,,,,,,,,,2,0,2,0,7.8387649999931455,,,,,,,,,,,,7.824959899997339,7.8387649999931455,0.0001800000318326056,7.8387649999931455,8.038818499946501,9.323945499956608,9.323945499956608,9.323945499956608,9.34071729995776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
