thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0028852997347712517,0.021081400103867054,0.002732700202614069,2.4563051001168787,[-0.1685185185185185],[0.16018518518518518],[1],[0],[0],[2.4528457997366786],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552433,001,2025-02-28_09h08.24.078,Foreperiod_task,2024.2.1post4,60.108291026010974,2025-02-28 09h08.28.244709 -0800,
0,0,0,[-0.1814814814814815],[0.1537037037037037],[1],[0],[0],[2.264988400042057],[],[],[],[],[],[],0,0,0,0,0,0,0,0,2.4714203998446465,,,,,,,,,,,,2.4574414999224246,2.4714203998446465,0.0010318998247385025,2.4714203998446465,2.6717260000295937,3.5550775001756847,3.5550775001756847,3.5550775001756847,3.5717306998558342,4.723039099946618,1.086035414145884,task,1.1789529858961731,[-0.1814814814814815],[0.1537037037037037],[1],[0],[0],[2.264988400042057],4.723252600058913,4.738508299924433,9.270012378692627e-05,5.038567299954593,6.255904099904001,[],[],[],[],[],[],552433,001,2025-02-28_09h08.24.078,Foreperiod_task,2024.2.1post4,60.108291026010974,2025-02-28 09h08.28.244709 -0800,
1,0,1,[-0.1814814814814815],[0.1537037037037037],[1],[0],[0],[1.0330560998991132],[],[],[],[],[],[],0,0,0,0,1,0,1,0,6.271736700087786,,,,,,,,,,,,6.256236699875444,6.271736700087786,0.00025460030883550644,6.271736700087786,6.471750299911946,6.75463500013575,6.75463500013575,6.75463500013575,6.771419600117952,7.290133299771696,0.5,task,0.5330560998991132,[-0.1814814814814815],[0.1537037037037037],[1],[0],[0],[1.0330560998991132],7.29043720010668,7.3050804999656975,0.00014720018953084946,7.605203500017524,8.905808500014246,[],[],[],[],[],[],552433,001,2025-02-28_09h08.24.078,Foreperiod_task,2024.2.1post4,60.108291026010974,2025-02-28 09h08.28.244709 -0800,
2,0,2,[-0.1814814814814815],[0.1537037037037037],[1],[0],[0],[0.8826782000251114],[],[],[],[],[],[],0,0,0,0,2,0,2,0,8.922059199772775,,,,,,,,,,,,8.906112200114876,8.922059199772775,0.00022929999977350235,8.922059199772775,9.121786099858582,9.405229699797928,9.405229699797928,9.405229699797928,9.42219359986484,9.789527600165457,0.5,task,0.38267820002511144,[-0.1814814814814815],[0.1537037037037037],[1],[0],[0],[0.8826782000251114],9.789798500016332,9.80512009980157,0.00011959997937083244,10.105401299893856,11.189616899937391,[],[],[],[],[],[],552433,001,2025-02-28_09h08.24.078,Foreperiod_task,2024.2.1post4,60.108291026010974,2025-02-28 09h08.28.244709 -0800,
3,0,3,[-0.19722222222222222],[0.17777777777777778],[1],[0],[0],[2.5824589002877474],[],[],[],[],[],[],0,0,0,0,3,0,3,0,11.205058900173753,,,,,,,,,,,,11.189953200053424,11.205058900173753,0.00026170024648308754,11.205058900173753,11.405009599868208,13.205445399973541,13.205445399973541,13.205445399973541,13.221948999911547,13.773152300156653,2,task,0.5824589002877474,[-0.19722222222222222],[0.17777777777777778],[1],[0],[0],[2.5824589002877474],13.773411800153553,13.788439699914306,0.00011390028521418571,14.088369600009173,15.089478800073266,[],[],[],[],[],[],552433,001,2025-02-28_09h08.24.078,Foreperiod_task,2024.2.1post4,60.108291026010974,2025-02-28 09h08.28.244709 -0800,
4,0,4,,,,,,,,,,,,,,,,,4,0,4,0,15.105024000164121,,,,,,,,,,,,15.089779899921268,15.105024000164121,0.00023230025544762611,15.105024000164121,15.305121699813753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
