thisN,thisTrialN,thisRepN,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.015361000085249543,0.0352982000913471,0.014896999928168952,5.026923600002192,[0.4683333333333333],[0.056666666666666664],[1],[0],[0],[5.010908900061622],071578,001,2025-01-26_10h46.21.470,Foreperiod_task,2024.2.4,None,2025-01-26 10h46.27.148068 -0800,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
