thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
29,0,29,[-0.24259259259259258],[0.4740740740740741],[1],[0],[0],[1.0837878994643688],0,0,0,0,29,0,29,0,187.79419879987836,,,,,,,,,,,,187.7787097003311,187.79419879987836,0.00038480013608932495,187.79419879987836,187.79419879987836,187.99458589963615,188.27842320036143,188.27842320036143,188.27842320036143,188.29465680010617,188.8632490998134,0.5,normal,0.5837878994643688,[-0.24259259259259258],[0.4740740740740741],[1],[0],[0],[1.0837878994643688],188.86381589993834,188.87837450020015,189.17804179992527,190.3971148999408,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
30,0,30,[-0.2462962962962963],[0.4787037037037037],[1],[0],[0],[0.04989270027726889],0,0,0,0,30,0,30,0,190.41312419995666,,,,,,,,,,,,190.39736669976264,190.41312419995666,0.0002701999619603157,190.41312419995666,190.41312419995666,,,,,,190.44823329988867,2,normal,-1.9501072997227311,[-0.2462962962962963],[0.4787037037037037],[1],[0],[0],[0.04989270027726889],190.4484636997804,190.46252110041678,190.76334530021995,191.68162619974464,190.46252110041678,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
31,0,31,[-0.2518518518518518],[0.4898148148148148],[1],[0],[0],[2.2686738995835185],0,0,0,0,31,0,31,0,191.69750859960914,,,,,,,,,,,,191.6819018004462,191.69750859960914,0.00028899963945150375,191.69750859960914,191.69750859960914,191.89748539961874,193.68286969978362,193.68286969978362,193.68286969978362,193.69953580014408,193.9513627998531,2,normal,0.2686738995835185,[-0.2518518518518518],[0.4898148148148148],[1],[0],[0],[2.2686738995835185],193.95183280017227,193.96601229999214,194.2661394001916,195.45087909977883,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
32,0,32,[-0.2611111111111111],[0.49444444444444446],[1],[0],[0],[1.7851570006459951],0,0,0,0,32,0,32,0,195.46682490035892,,,,,,,,,,,,195.4510243004188,195.46682490035892,0.00014739949256181717,195.46682490035892,195.46682490035892,195.667317699641,195.95087299961597,195.95087299961597,195.95087299961597,195.96769599989057,197.236961199902,0.5,normal,1.2851570006459951,[-0.2611111111111111],[0.49444444444444446],[1],[0],[0],[1.7851570006459951],197.23744329996407,197.25214300025254,197.5523357000202,198.504074299708,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
33,0,33,[-0.275],[0.5],[1],[0],[0],[1.4003917006775737],0,0,0,0,33,0,33,0,198.5197176001966,,,,,,,,,,,,198.50438539963216,198.5197176001966,0.0003249002620577812,198.5197176001966,198.5197176001966,198.71984549984336,,,,,199.9056620001793,2,normal,-0.5996082993224263,[-0.275],[0.5],[1],[0],[0],[1.4003917006775737],199.90620269998908,199.9208979997784,200.22107390034944,201.1726414002478,199.9208979997784,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
34,0,34,[-0.275],[0.5],[1],[0],[0],[2.084878299385309],0,0,0,0,34,0,34,0,201.18892680015415,,,,,,,,,,,,201.17293480038643,201.18892680015415,0.00030320044606924057,201.18892680015415,201.18892680015415,201.38887799996883,201.6724036000669,201.6724036000669,201.6724036000669,201.68906060047448,203.25867849960923,0.5,normal,1.5848782993853092,[-0.275],[0.5],[1],[0],[0],[2.084878299385309],203.25913439970464,203.27354240044951,203.5741159999743,204.94240009970963,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
35,0,35,[-0.2759259259259259],[0.5],[1],[0],[0],[0.1828385004773736],0,0,0,0,35,0,35,0,204.95848220027983,,,,,,,,,,,,204.94269550032914,204.95848220027983,0.0003035999834537506,204.95848220027983,204.95848220027983,,,,,,205.12651209998876,2,normal,-1.8171614995226264,[-0.2759259259259259],[0.5],[1],[0],[0],[0.1828385004773736],205.12717300001532,205.14214110001922,205.44162849988788,206.35998329985887,205.14214110001922,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
36,0,36,[-0.35833333333333334],[0.5],[1],[0],[0],[6.956688700243831],0,0,0,0,36,0,36,0,206.37611790001392,,,,,,,,,,,,206.36023060046136,206.37611790001392,0.00025799963623285294,206.37611790001392,206.37611790001392,206.57622309960425,206.86025100015104,206.86025100015104,206.86025100015104,206.87672009970993,213.31770309992135,0.5,normal,6.456688700243831,[-0.35833333333333334],[0.5],[1],[0],[0],[6.956688700243831],213.3182837003842,213.33210329990834,213.63226359989494,214.90048850048333,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
37,0,37,[-0.26296296296296295],[0.4824074074074074],[1],[0],[0],[98.7821300001815],0,0,0,0,37,0,37,0,214.91654940042645,,,,,,,,,,,,214.9007558003068,214.91654940042645,0.0002781003713607788,214.91654940042645,214.91654940042645,215.1167649999261,216.90180830005556,216.90180830005556,216.90180830005556,216.9183924002573,313.6837032996118,2,normal,96.7821300001815,[-0.26296296296296295],[0.4824074074074074],[1],[0],[0],[98.7821300001815],313.6841604998335,313.6989471996203,313.9990105004981,314.9503640998155,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
38,0,38,[0.37222222222222223],[0.21388888888888888],[1],[0],[0],[1.133945600129664],0,0,0,0,38,0,38,0,314.96655560005456,,,,,,,,,,,,314.95060089975595,314.96655560005456,0.0002533998340368271,314.96655560005456,314.96655560005456,315.16703539993614,,,,,316.08531800005585,2,normal,-0.8660543998703361,[0.37222222222222223],[0.21388888888888888],[1],[0],[0],[1.133945600129664],316.0857515996322,316.1009833998978,316.40129140019417,317.55274510011077,316.1009833998978,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
39,0,39,[0.37222222222222223],[0.21388888888888888],[1],[0],[0],[0.7835497995838523],0,0,0,0,39,0,39,0,317.56865539960563,,,,,,,,,,,,317.5530497999862,317.56865539960563,0.00033459998667240143,317.56865539960563,317.56865539960563,317.7687616003677,,,,,318.3374939998612,1.0118387875467336,surprise,-0.22828898796288133,[0.37222222222222223],[0.21388888888888888],[1],[0],[0],[0.7835497995838523],318.33802120015025,318.35263159964234,318.6531066996977,319.3541975999251,318.35263159964234,319.3702734000981,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
40,0,40,[0.37222222222222223],[0.21388888888888888],[1],[0],[0],[0.16631199978291988],0,0,0,0,40,0,40,0,319.3702734000981,,,,,,,,,,,,319.3544503999874,319.3702734000981,0.0002680998295545578,319.3702734000981,319.3702734000981,,,,,,319.5214299997315,2,normal,-1.8336880002170801,[0.37222222222222223],[0.21388888888888888],[1],[0],[0],[0.16631199978291988],319.52180640026927,319.53714760020375,319.8372809998691,320.7885736003518,319.53714760020375,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
41,0,41,[0.3685185185185185],[0.22592592592592592],[1],[0],[0],[3.769157299771905],0,0,0,0,41,0,41,0,320.80474159959704,,,,,,,,,,,,320.78882780019194,320.80474159959704,0.00026510003954172134,320.80474159959704,320.80474159959704,321.00494739972055,322.78946129977703,322.78946129977703,322.78946129977703,322.80632949993014,324.5586337996647,2,normal,1.769157299771905,[0.3685185185185185],[0.22592592592592592],[1],[0],[0],[3.769157299771905],324.5589816002175,324.57453360036016,324.8742698999122,326.17647140007466,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
42,0,42,[0.25092592592592594],[0.26296296296296295],[1],[0],[0],[6.438577299937606],0,0,0,0,42,0,42,0,326.19261949975044,,,,,,,,,,,,326.17671629972756,326.19261949975044,0.00025979988276958466,326.19261949975044,326.19261949975044,326.39263440016657,328.177522899583,328.177522899583,328.177522899583,328.19398589991033,332.6159359999001,2,normal,4.438577299937606,[0.25092592592592594],[0.26296296296296295],[1],[0],[0],[6.438577299937606],332.6162794996053,332.63109690044075,332.9314141003415,334.2333692004904,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
43,0,43,[0.2759259259259259],[0.2601851851851852],[1],[0],[0],[1.584128700196743],0,0,0,0,43,0,43,0,334.2492273999378,,,,,,,,,,,,334.23365479987115,334.2492273999378,0.0003115003928542137,334.2492273999378,334.2492273999378,334.44939950015396,334.7330507002771,334.7330507002771,334.7330507002771,334.7497977996245,335.81856899987906,0.5,normal,1.084128700196743,[0.2759259259259259],[0.2601851851851852],[1],[0],[0],[1.584128700196743],335.8190721999854,335.83405179996043,336.1341872997582,337.4360295999795,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
44,0,44,[0.2796296296296296],[0.2574074074074074],[1],[0],[0],[1.0506356004625559],0,0,0,0,44,0,44,0,337.4517267001793,,,,,,,,,,,,337.4363106004894,337.4517267001793,0.0002975994721055031,337.4517267001793,337.4517267001793,337.652091300115,337.93562559969723,337.93562559969723,337.93562559969723,337.9525571996346,338.48766050022095,0.5,normal,0.5506356004625559,[0.2796296296296296],[0.2574074074074074],[1],[0],[0],[1.0506356004625559],338.4881944004446,338.5025958996266,338.8030067002401,340.08840680029243,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
45,0,45,[0.2898148148148148],[0.22962962962962963],[1],[0],[0],[2.234605299308896],0,0,0,0,45,0,45,0,340.10417900048196,,,,,,,,,,,,340.08864719979465,340.10417900048196,0.0002483995631337166,340.10417900048196,340.10417900048196,340.3041986003518,340.5879111001268,340.5879111001268,340.5879111001268,340.60450190026313,342.3239638004452,0.5,normal,1.734605299308896,[0.2898148148148148],[0.22962962962962963],[1],[0],[0],[2.234605299308896],342.3243538001552,342.3394681001082,342.6395645001903,343.85818920005113,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
46,0,46,[0.375],[0.18055555555555555],[1],[0],[0],[36.09541769977659],0,0,0,0,46,0,46,0,343.87394259963185,,,,,,,,,,,,343.8585404995829,343.87394259963185,0.00036399997770786285,343.87394259963185,343.87394259963185,344.0738970004022,345.85888709966093,345.85888709966093,345.85888709966093,345.8758119000122,379.95442690048367,2,normal,34.09541769977659,[0.375],[0.18055555555555555],[1],[0],[0],[36.09541769977659],379.9546200996265,379.97066110000014,380.2717668004334,381.5892490996048,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
47,0,47,[0.8740740740740741],[0.4935185185185185],[1],[0],[0],[439.84885770082474],0,0,0,0,47,0,47,0,381.6053881999105,,,,,,,,,,,,381.58954630047083,381.6053881999105,0.0003420999273657799,381.6053881999105,381.6053881999105,381.8054827004671,383.59027810022235,383.59027810022235,383.59027810022235,383.6070282999426,821.4391237003729,2,normal,437.84885770082474,[0.8740740740740741],[0.4935185185185185],[1],[0],[0],[439.84885770082474],821.4396371999756,821.4545061998069,821.7548436997458,822.6397930998355,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
48,0,48,[0.8490740740740741],[0.43703703703703706],[1],[0],[0],[1.4342642994597554],0,0,0,0,48,0,48,0,822.6553819002584,,,,,,,,,,,,822.6401080004871,822.6553819002584,0.00032369978725910187,822.6553819002584,822.6553819002584,822.8557949997485,823.1387422000989,823.1387422000989,823.1387422000989,823.1553451996297,824.0760110998526,0.5,normal,0.9342642994597554,[0.8490740740740741],[0.43703703703703706],[1],[0],[0],[1.4342642994597554],824.0764220999554,824.0899152001366,824.390442200005,825.7589972997084,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
49,0,49,,,,,,,,,,,49,0,49,0,825.7747766003013,,,,,,,,,,,,825.7592727001756,825.7747766003013,0.00028559938073158264,825.7747766003013,825.7747766003013,825.97525329981,826.2586834998801,826.2586834998801,826.2586834998801,826.2752986997366,,,,,,,,,,,,,,,,,,,,,,,,
