thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,[0.48833333333333334],[0.18],[1],[0],[0],[2.322235199972056],[],[],[],[],[],[],0,0,0,0,9,0,9,0,54.724006799981,,,,,,,,,,,,54.71700339997187,54.724006799981,0.00021009996999055147,54.724006799981,54.92444900004193,56.71297340001911,56.71297340001911,56.71297340001911,56.72431439999491,57.0400220999727,2,task,0.32223519997205585,[0.48833333333333334],[0.18],[1],[0],[0],[2.322235199972056],57.040296499966644,57.04717290005647,0.0001227000029757619,57.346909400075674,58.3378781999927,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
10,0,10,[0.48833333333333334],[0.18],[1],[0],[0],[2.345451100030914],[],[],[],[],[],[],0,0,0,0,10,0,10,0,58.34607560001314,,,,,,,,,,,,58.338244699989446,58.34607560001314,0.0002696000738069415,58.34607560001314,58.546548899961635,60.33588829997461,60.33588829997461,60.33588829997461,60.34676370001398,60.6845350000076,2,task,0.34545110003091395,[0.48833333333333334],[0.18],[1],[0],[0],[2.345451100030914],60.68481560004875,60.691039100056514,0.00011330004781484604,60.99078610003926,61.98358930007089,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
11,0,11,[0.48833333333333334],[0.18],[1],[0],[0],[2.344307000050321],[],[],[],[],[],[],0,0,0,0,11,0,11,0,61.990672099986114,,,,,,,,,,,,61.983924900065176,61.990672099986114,0.00025040004402399063,61.990672099986114,62.19085490005091,63.9793569999747,63.9793569999747,63.9793569999747,63.99066480004694,64.32888220006134,2,task,0.3443070000503212,[0.48833333333333334],[0.18],[1],[0],[0],[2.344307000050321],64.32915790006518,64.33529529999942,0.00012019998393952847,64.63480630004779,65.98218950000592,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
12,0,12,[0.48833333333333334],[0.18],[1],[0],[0],[2.3688316999468952],[],[],[],[],[],[],0,0,0,0,12,0,12,0,65.99036539997905,,,,,,,,,,,,65.98241769999731,65.99036539997905,0.0001767999492585659,65.99036539997905,66.19078429997899,67.97958669997752,67.97958669997752,67.97958669997752,67.9908742000116,68.3519317000173,2,task,0.36883169994689524,[0.48833333333333334],[0.18],[1],[0],[0],[2.3688316999468952],68.35218599997461,68.35724170005415,0.00010810000821948051,68.65764320001472,69.76173400005791,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
13,0,13,[0.48833333333333334],[0.18],[1],[0],[0],[2.5547142000868917],[],[],[],[],[],[],0,0,0,0,13,0,13,0,69.76847050001379,,,,,,,,,,,,69.76206300000194,69.76847050001379,0.0002579001011326909,69.76847050001379,69.96803660003934,71.757568800007,71.757568800007,71.757568800007,71.76855230005458,72.31749140005559,2,task,0.5547142000868917,[0.48833333333333334],[0.18],[1],[0],[0],[2.5547142000868917],72.31777650001459,72.32381610001903,0.00013890000991523266,72.63392950000707,73.8500399000477,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
14,0,14,[0.48833333333333334],[0.18],[1],[0],[0],[2.4799943000543863],[],[],[],[],[],[],0,0,0,0,14,0,14,0,73.85703050007578,,,,,,,,,,,,73.85036070004571,73.85703050007578,0.00026110000908374786,73.85703050007578,74.05675460002385,75.8468268000288,75.8468268000288,75.8468268000288,75.85771680006292,76.33129240002017,2,task,0.47999430005438626,[0.48833333333333334],[0.18],[1],[0],[0],[2.4799943000543863],76.33155820006505,76.34628920000978,0.000125400023534894,76.64626880001742,77.57301839999855,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
15,0,15,[0.48833333333333334],[0.18],[1],[0],[0],[2.3778809999348596],[],[],[],[],[],[],0,0,0,0,15,0,15,0,77.57943519996479,,,,,,,,,,,,77.57333559996914,77.57943519996479,0.00024960003793239594,77.57943519996479,77.77933459996711,79.568450700026,79.568450700026,79.568450700026,79.57932180003263,79.95188860001508,2,task,0.3778809999348596,[0.48833333333333334],[0.18],[1],[0],[0],[2.3778809999348596],79.95217219996266,79.95689689996652,0.0001175999641418457,80.25717340002302,81.17239700001664,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
16,0,16,[0.48833333333333334],[0.18],[1],[0],[0],[4.1227352999849245],[],[],[],[],[],[],0,0,0,0,16,0,16,0,81.1794108999893,,,,,,,,,,,,81.17272300005425,81.1794108999893,0.00024390011094510555,81.1794108999893,81.3796919999877,83.16819530003704,83.16819530003704,83.16819530003704,83.18930389999878,85.29612249997444,2,task,2.1227352999849245,[0.48833333333333334],[0.18],[1],[0],[0],[4.1227352999849245],85.29634710005485,85.30134470004123,0.00012179999612271786,85.60123759997077,86.68408350006212,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
17,0,17,[0.48833333333333334],[0.18],[1],[0],[0],[2.433904599980451],[],[],[],[],[],[],0,0,0,0,17,0,17,0,86.69045069999993,,,,,,,,,,,,86.68436680000741,86.69045069999993,0.0002218000590801239,86.69045069999993,86.89070009998977,88.67945809999947,88.67945809999947,88.67945809999947,88.6905804000562,89.11913790006656,2,task,0.43390459998045117,[0.48833333333333334],[0.18],[1],[0],[0],[2.433904599980451],89.11988100002054,89.13364180002827,0.0001186000881716609,89.43584369996097,90.3854316000361,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
18,0,18,[0.48833333333333334],[0.18],[1],[0],[0],[3.042750300024636],[],[],[],[],[],[],0,0,0,0,18,0,18,0,90.40051930001937,,,,,,,,,,,,90.3858153000474,90.40051930001937,0.0003065000055357814,90.40051930001937,90.6012585000135,92.37906990002375,92.37906990002375,92.37906990002375,92.39029070001561,93.42936379997991,2,task,1.042750300024636,[0.48833333333333334],[0.18],[1],[0],[0],[3.042750300024636],93.42958410002757,93.43447370000649,0.00011859997175633907,93.73443960002623,94.91753470001277,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
19,0,19,[0.48833333333333334],[0.18],[1],[0],[0],[2.377061599981971],[],[],[],[],[],[],0,0,0,0,19,0,19,0,94.9234143999638,,,,,,,,,,,,94.91788710001856,94.9234143999638,0.00028169993311166763,94.9234143999638,95.12509400001727,96.91278810007498,96.91278810007498,96.91278810007498,96.92411670007277,97.29604070005007,2,task,0.3770615999819711,[0.48833333333333334],[0.18],[1],[0],[0],[2.377061599981971],97.29627240006812,97.30164560000412,0.0001273999223485589,97.60163300007116,98.56128749996424,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
20,0,20,[0.49],[0.013333333333333334],[1],[0],[0],[2.4093024000758305],[],[],[],[],[],[],0,0,0,0,20,0,20,0,98.56824310007505,,,,,,,,,,,,98.56159759999719,98.56824310007505,0.00021970004308968782,98.56824310007505,98.76766580005642,100.55709220003337,100.55709220003337,100.55709220003337,100.56798599998001,100.97156580002047,2,task,0.4093024000758305,[0.49],[0.013333333333333334],[1],[0],[0],[2.4093024000758305],100.97177669999655,100.97890720004216,0.00013419997412711382,101.2793190999655,102.28337670001201,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
21,0,21,[0.49],[0.013333333333333334],[1],[0],[0],[2.3557410000357777],[],[],[],[],[],[],0,0,0,0,21,0,21,0,102.29010640003253,,,,,,,,,,,,102.28368320001755,102.29010640003253,0.00022839999292045832,102.29010640003253,102.49021920002997,104.27981560002081,104.27981560002081,104.27981560002081,104.29046429996379,104.64027460000943,2,task,0.3557410000357777,[0.49],[0.013333333333333334],[1],[0],[0],[2.3557410000357777],104.64049530006014,104.64561120001599,0.000112100038677454,104.94585919997189,106.03909320000093,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
22,0,22,[0.49],[0.013333333333333334],[1],[0],[0],[2.43290019989945],[],[],[],[],[],[],0,0,0,0,22,0,22,0,106.04520120006055,,,,,,,,,,,,106.03934789996129,106.04520120006055,0.00017220003064721823,106.04520120006055,106.2457049000077,108.03440470003989,108.03440470003989,108.03440470003989,108.04507810005452,108.47289189998992,2,task,0.43290019989944994,[0.49],[0.013333333333333334],[1],[0],[0],[2.43290019989945],108.47310170007404,108.4786384999752,0.00011040002573281527,108.77835869998671,109.77177730004769,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
