thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028828000649809837,0.01671059988439083,0.0027194004505872726,23.104391999542713,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[23.100866300053895],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
0,0,0,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3991211000829935],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,23.120224099606276,,,,,,,,,,,,23.10710319969803,23.120224099606276,0.0025638993829488754,23.120224099606276,23.320456099696457,25.104981099255383,25.104981099255383,25.104981099255383,25.121842499822378,25.50705499947071,2,normal,0.3991211000829935,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3991211000829935],25.507558399811387,25.52190489973873,0.00036720000207424164,25.822315399535,26.70726879965514,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
1,0,1,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3012853004038334],[],[],[],[],[],[],,,,0,0,0,0,1,0,1,0,26.723193399608135,,,,,,,,,,,,26.707639100030065,26.723193399608135,0.00028320029377937317,26.723193399608135,26.923136299476027,28.708124599419534,28.708124599419534,28.708124599419534,28.72465429920703,29.009788499213755,2,normal,0.3012853004038334,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3012853004038334],29.010331799276173,29.02510629966855,0.0003960002213716507,29.32514759991318,30.577016599476337,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
2,0,2,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8669213000684977],[],[],[],[],[],[],,,,0,0,0,0,2,0,2,0,30.592869699932635,,,,,,,,,,,,30.577391899190843,30.592869699932635,0.00030170008540153503,30.592869699932635,30.79303709976375,31.07669149991125,31.07669149991125,31.07669149991125,31.093297599814832,31.44514760002494,0.5,normal,0.36692130006849766,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8669213000684977],31.445696199312806,31.46038769930601,0.0004233000800013542,31.760715499520302,32.82878949958831,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
3,0,3,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.334531900472939],[],[],[],[],[],[],,,,0,0,0,0,3,0,3,0,32.84482969995588,,,,,,,,,,,,32.829167399555445,32.84482969995588,0.0003078998997807503,32.84482969995588,33.045036300085485,34.82977679930627,34.82977679930627,34.82977679930627,34.84648069925606,35.16455749981105,2,normal,0.334531900472939,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.334531900472939],35.16506520006806,35.179557799361646,0.0003621000796556473,35.480288699269295,36.748812600038946,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
4,0,4,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8837395999580622],[],[],[],[],[],[],,,,0,0,0,0,4,0,4,0,36.76473489962518,,,,,,,,,,,,36.74923299998045,36.76473489962518,0.0003420999273657799,36.76473489962518,36.96481059957296,37.24868829920888,37.24868829920888,37.24868829920888,37.26535359956324,37.633809600025415,0.5,normal,0.38373959995806217,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8837395999580622],37.63454769924283,37.648933599703014,0.0006311004981398582,37.949019299820065,39.03395609930158,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
5,0,5,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.834812699817121],[],[],[],[],[],[],,,,0,0,0,0,5,0,5,0,39.050021099857986,,,,,,,,,,,,39.03432849980891,39.050021099857986,0.0002680998295545578,39.050021099857986,39.249982099980116,40.53505629952997,40.53505629952997,40.53505629952997,40.55121619999409,40.86997309979051,1.489490723512716,surprise,0.3453219763044051,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.834812699817121],40.87050309963524,40.88493189960718,0.00037079956382513046,41.1850517001003,42.370103700086474,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
6,0,6,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.317838800139725],[],[],[],[],[],[],,,,0,0,0,0,6,0,6,0,42.386122999712825,,,,,,,,,,,,42.37042419984937,42.386122999712825,0.0002491995692253113,42.386122999712825,42.58645779918879,44.37122819945216,44.37122819945216,44.37122819945216,44.38789919950068,44.689081399701536,2,normal,0.3178388001397252,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.317838800139725],44.689814699813724,44.70497589930892,0.0005481000989675522,45.00493500009179,46.07335209939629,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
7,0,7,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8168959002941847],[],[],[],[],[],[],,,,0,0,0,0,7,0,7,0,46.08910879958421,,,,,,,,,,,,46.073712199926376,46.08910879958421,0.00026850029826164246,46.08910879958421,46.289258799515665,46.57286629918963,46.57286629918963,46.57286629918963,46.58944119978696,46.89141919929534,0.5,normal,0.3168959002941847,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8168959002941847],46.891889199614525,46.90640679933131,0.00030930060893297195,47.20665629953146,48.458564300090075,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
8,0,8,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.4341858997941017],[],[],[],[],[],[],,,,0,0,0,0,8,0,8,0,48.47444729972631,,,,,,,,,,,,48.458933900110424,48.47444729972631,0.00029319990426301956,48.47444729972631,48.6745961997658,49.52542149927467,49.52542149927467,49.52542149927467,49.54203009977937,49.894046699628234,1.0519275578164031,surprise,0.3822583419776986,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.4341858997941017],49.89458670001477,49.90901600010693,0.00035720039159059525,50.20918559934944,51.26086139958352,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
9,0,9,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.4182735001668334],[],[],[],[],[],[],,,,0,0,0,0,9,0,9,0,51.27669639978558,,,,,,,,,,,,51.26118139922619,51.27669639978558,0.0002513006329536438,51.27669639978558,51.47678169980645,53.26168520003557,53.26168520003557,53.26168520003557,53.27844729926437,53.680284599773586,2,normal,0.4182735001668334,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.4182735001668334],53.68068469967693,53.695471899583936,0.0002456996589899063,53.99577349983156,54.99699370004237,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
10,0,10,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.31840300001204],[],[],[],[],[],[],,,,0,0,0,0,10,0,10,0,55.013369099237025,,,,,,,,,,,,54.997326099313796,55.013369099237025,0.0002569993957877159,55.013369099237025,55.21318249963224,56.99835369922221,56.99835369922221,56.99835369922221,57.01507459953427,57.31643349956721,2,normal,0.31840300001204014,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.31840300001204],57.31682009994984,57.33198469970375,0.0002517998218536377,57.632062499411404,58.71707659959793,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
11,0,11,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8502417001873255],[],[],[],[],[],[],,,,0,0,0,0,11,0,11,0,58.733192699961364,,,,,,,,,,,,58.71742029953748,58.733192699961364,0.0002564992755651474,58.733192699961364,58.93308799993247,59.216731399297714,59.216731399297714,59.216731399297714,59.233358699828386,59.56841279938817,0.5,normal,0.3502417001873255,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8502417001873255],59.5687609994784,59.58380689937621,0.00023449957370758057,59.884102899581194,60.868940900079906,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
12,0,12,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.4669989999383688],[],[],[],[],[],[],,,,0,0,0,0,12,0,12,0,60.88473299983889,,,,,,,,,,,,60.86925709992647,60.88473299983889,0.00024929922074079514,60.88473299983889,61.08484449982643,62.01904449984431,62.01904449984431,62.01904449984431,62.03573150001466,62.33770289923996,1.1432129822435768,surprise,0.323786017694792,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.4669989999383688],62.33816989976913,62.35268639959395,0.0003237994387745857,62.652825199998915,64.02170019969344,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
13,0,13,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8667615000158548],[],[],[],[],[],[],,,,0,0,0,0,13,0,13,0,64.03740549925715,,,,,,,,,,,,64.0221149995923,64.03740549925715,0.00032300036400556564,64.03740549925715,64.23763330001384,64.5213510999456,64.5213510999456,64.5213510999456,64.53834239952266,64.88964230008423,0.5,normal,0.36676150001585484,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8667615000158548],64.8900896999985,64.90485789999366,0.0003512995317578316,65.20501790009439,66.17319819983095,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
