thisN,thisTrialN,thisRepN,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0024667000398039818,0.0071973009034991264,0.002307100221514702,1.2442530002444983,[-0.024074074074074074],[0.1],[1],[0],[0],[1.2410695999860764],,,,,,,,,,,,,,,,,,,,,,241809,001,2024-11-16_14h38.12.500,Foreperiod_task,2024.2.1post4,60.13026630482316,2024-11-16 14h38.17.998021 -0800,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.2625755006447434,,,,,,,,,,,,1.2560948003083467,1.2625755006447434,0.011732500046491623,1.2625755006447434,1.2625755006447434,1.4763901000842452,3.2443630006164312,3.2443630006164312,3.2443630006164312,3.261429900303483,3.496089900843799,2,normal,0.23921380005776882,[-0.022222222222222223],[0.1037037037037037],[1],[0],[0],[2.239213800057769],3.4965560007840395,,,,,,,,
