9.9731 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='this is a break pleas press space to continue', units='height', win=Window(...), wrapWidth=1)
0.0084 	EXP 	Welcome_Text: autoDraw = True
1.5100 	DATA 	Mouse: Left button down, pos=(824,684)
1.5117 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.5119 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.5267 	EXP 	Welcome_Text: autoDraw = False
1.5267 	EXP 	AVG: text = ''
1.5267 	EXP 	PLUS_FP: autoDraw = True
1.5267 	EXP 	AVG: autoDraw = True
1.5267 	EXP 	Photodiode_plus: autoDraw = True
1.6455 	DATA 	Mouse:  Left button up, pos=(824,684)
1.7274 	EXP 	Photodiode_plus: autoDraw = False
2.9616 	EXP 	PLUS_FP: autoDraw = False
2.9616 	EXP 	polygon: autoDraw = True
2.9616 	EXP 	Photodiode_polygon: autoDraw = True
2.9785 	EXP 	Photodiode_polygon: autoDraw = False
3.2294 	DATA 	Mouse: Left button down, pos=(824,684)
3.2490 	EXP 	window1: mouseVisible = True
