thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,[0.128125],[0.31875],[1],[0],[0],[0.9113213000819087],[],[],[],[],[],[],,,,0,0,0,0,9,0,9,0,34.6007365998812,,,,,,,,,,,,34.590432099998,34.6007365998812,0.00023490004241466522,34.6007365998812,34.80055809998885,35.0897351000458,35.0897351000458,35.0897351000458,35.10092670004815,35.50261599989608,0.5,task,0.4113213000819087,[0.128125],[0.31875],[1],[0],[0],[0.9113213000819087],35.50288649997674,35.51183349988423,0.00013090018182992935,35.81160630006343,37.11224270006642,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,,,,,,,,,,,,,space,0.9592325000558048,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.11404410004616,37.12811419996433,37.12811419996433,38.09089570003562,space,0.9592325000558048,None,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[2.1101859000045806],[],[],[],[],[],[],,,,1,0,1,0,0,0,0,0,38.100621700054035,,,,,,,,,,,,38.09152760007419,38.100621700054035,0.0005859001539647579,38.100621700054035,38.30051969992928,39.5011432999745,39.5011432999745,39.5011432999745,39.51230719988234,40.20241319993511,1.4089082201732035,task,0.7012776798313771,[0.128125],[0.31875],[1],[0],[0],[2.1101859000045806],40.20264669996686,40.211876600049436,9.530014358460903e-05,40.511768399970606,41.434918500017375,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[2.377586300019175],[],[],[],[],[],[],,,,1,0,1,0,1,0,1,0,41.44528939994052,,,,,,,,,,,,41.43524120002985,41.44528939994052,0.00027549988590180874,41.44528939994052,41.64527489989996,43.43431099993177,43.43431099993177,43.43431099993177,43.44536520005204,43.81390960002318,2,task,0.3775863000191748,[0.128125],[0.31875],[1],[0],[0],[2.377586300019175],43.81414039991796,43.82310310006142,0.00010599987581372261,44.12193990009837,45.39009210001677,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[2.3994224998168647],[],[],[],[],[],[],,,,1,0,1,0,2,0,2,0,45.40062179998495,,,,,,,,,,,,45.39038069988601,45.40062179998495,0.00026400014758110046,45.40062179998495,45.60066100000404,47.389935499988496,47.389935499988496,47.389935499988496,47.40103269997053,47.7906502999831,2,task,0.39942249981686473,[0.128125],[0.31875],[1],[0],[0],[2.3994224998168647],47.79090950009413,47.80080379988067,0.0001083998940885067,48.09939770004712,49.15713190007955,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[1.788494799984619],[],[],[],[],[],[],,,,1,0,1,0,3,0,3,0,49.16771570011042,,,,,,,,,,,,49.15753880003467,49.16771570011042,0.00033459998667240143,49.16771570011042,49.367341300006956,50.40069660008885,50.40069660008885,50.40069660008885,50.41179300006479,50.94695480004884,1.2485824995931238,task,0.5399123003914952,[0.128125],[0.31875],[1],[0],[0],[1.788494799984619],50.947201299946755,50.95611199992709,0.00011139991693198681,51.25600440008566,52.356645700056106,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[2.3446293000597507],[],[],[],[],[],[],,,,1,0,1,0,4,0,4,0,52.367154400097206,,,,,,,,,,,,52.356843000045046,52.367154400097206,0.00012260000221431255,52.367154400097206,52.56716559990309,54.3561597999651,54.3561597999651,54.3561597999651,54.36719570006244,54.702101700007915,2,task,0.3446293000597507,[0.128125],[0.31875],[1],[0],[0],[2.3446293000597507],54.702324999962,54.71166049991734,0.00011649983935058117,55.01153160003014,56.212110799970105,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[0.8888272999320179],[],[],[],[],[],[],,,,1,0,1,0,5,0,5,0,56.222770699998364,,,,,,,,,,,,56.21241810009815,56.222770699998364,0.00023950007744133472,56.222770699998364,56.42267069988884,56.711708900053054,56.711708900053054,56.711708900053054,56.72295329999179,57.101839900016785,0.5,task,0.3888272999320179,[0.128125],[0.31875],[1],[0],[0],[0.8888272999320179],57.10205219988711,57.11151729989797,9.930017404258251e-05,57.411506900098175,58.71154369995929,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[2.322878299979493],[],[],[],[],[],[],,,,1,0,1,0,6,0,6,0,58.72260440001264,,,,,,,,,,,,58.7116956000682,58.72260440001264,0.00011979998089373112,58.72260440001264,58.92288600001484,60.711532399989665,60.711532399989665,60.711532399989665,60.722640600055456,61.03531840001233,2,task,0.322878299979493,[0.128125],[0.31875],[1],[0],[0],[2.322878299979493],61.03552530007437,61.044801800046116,0.00011020014062523842,61.344552299939096,62.34493479994126,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[2.4334584998432547],[],[],[],[],[],[],,,,1,0,1,0,7,0,7,0,62.3558980000671,,,,,,,,,,,,62.34510549996048,62.3558980000671,0.00013360008597373962,62.3558980000671,62.555994499940425,64.34480599989183,64.34480599989183,64.34480599989183,64.35604620003141,64.7790145999752,2,task,0.4334584998432547,[0.128125],[0.31875],[1],[0],[0],[2.4334584998432547],64.77914089988917,64.78907139995135,5.8300094678997993e-05,65.08898229990155,66.01196909998544,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[2.4004630998242646],[],[],[],[],[],[],,,,1,0,1,0,8,0,8,0,66.02241110010073,,,,,,,,,,,,66.01233469997533,66.02241110010073,0.0002794000320136547,66.02241110010073,66.22248560003936,68.01181269995868,68.01181269995868,68.01181269995868,68.02283590007573,68.41366870002821,2,task,0.40046309982426465,[0.128125],[0.31875],[1],[0],[0],[2.4004630998242646],68.41394630004652,68.42285649990663,0.0001129999291151762,68.72273269994184,69.69052969990298,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
9,0,9,[0.128125],[0.31875],[1],[0],[0],[0.9659049999900162],[],[],[],[],[],[],,,,1,0,1,0,9,0,9,0,69.7004855000414,,,,,,,,,,,,69.69083800003864,69.7004855000414,0.00023750006221234798,69.7004855000414,69.90033550001681,70.18961660005152,70.18961660005152,70.18961660005152,70.20062369992957,70.6579100000672,0.5,task,0.4659049999900162,[0.128125],[0.31875],[1],[0],[0],[0.9659049999900162],70.65822870004922,70.66726929997094,0.00014720018953084946,70.96716540004127,72.23392389994115,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,,,,,,,,,,,,,space,1.8378885998390615,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.23518559988588,72.24483620002866,72.24483620002866,74.09097520005889,space,1.8378885998390615,None,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[2.4538289001211524],[],[],[],[],[],[],,,,2,0,2,0,0,0,0,0,74.10035199997947,,,,,,,,,,,,74.0914797000587,74.10035199997947,0.000480300048366189,74.10035199997947,74.30020860000513,76.0891571000684,76.0891571000684,76.0891571000684,76.10031770006754,76.54603220010176,2,task,0.4538289001211524,[0.128125],[0.31875],[1],[0],[0],[2.4538289001211524],76.54619450005703,76.55575429997407,6.95998314768076e-05,76.85590899991803,78.21241970011033,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[2.476805199868977],[],[],[],[],[],[],,,,2,0,2,0,1,0,1,0,78.2224934999831,,,,,,,,,,,,78.21273529995233,78.2224934999831,0.0002491001505404711,78.2224934999831,78.42236179998145,80.21158319991082,80.21158319991082,80.21158319991082,80.22295679990202,80.69008379988372,2,task,0.47680519986897707,[0.128125],[0.31875],[1],[0],[0],[2.476805199868977],80.69019960006699,80.70002919994295,5.469983443617821e-05,81.00010389997624,82.34553899988532,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[2.3994148999918252],[],[],[],[],[],[],,,,2,0,2,0,2,0,2,0,82.35560719994828,,,,,,,,,,,,82.34579070005566,82.35560719994828,0.00020899996161460876,82.35560719994828,82.55563930002972,84.34489979990758,84.34489979990758,84.34489979990758,84.3560222000815,84.74584329989739,2,task,0.3994148999918252,[0.128125],[0.31875],[1],[0],[0],[2.3994148999918252],84.74596339999698,84.75574179994874,5.510007031261921e-05,85.05483979987912,86.034052999923,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[0.9113601001445204],[],[],[],[],[],[],,,,2,0,2,0,3,0,3,0,86.04447890003212,,,,,,,,,,,,86.0343154000584,86.04447890003212,0.00020200014114379883,86.04447890003212,86.24451139988378,86.53364689997397,86.53364689997397,86.53364689997397,86.54470369988121,86.94660190003924,0.5,task,0.4113601001445204,[0.128125],[0.31875],[1],[0],[0],[0.9113601001445204],86.94682219997048,86.95575960003771,0.0001012999564409256,87.25586350006051,88.27846119995229,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[0.8558273001108319],[],[],[],[],[],[],,,,2,0,2,0,4,0,4,0,88.28910679998808,,,,,,,,,,,,88.27864450006746,88.28910679998808,0.0001363998744636774,88.28910679998808,88.48910299991257,88.77799080009572,88.77799080009572,88.77799080009572,88.7892567999661,89.13525789999403,0.5,task,0.35582730011083186,[0.128125],[0.31875],[1],[0],[0],[0.8558273001108319],89.13549309992231,89.14451320003718,0.00010329997166991234,89.44453460001387,90.61206219997257,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[0.8550650000106543],[],[],[],[],[],[],,,,2,0,2,0,5,0,5,0,90.62255800003186,,,,,,,,,,,,90.61242290004157,90.62255800003186,0.000287200091406703,90.62255800003186,90.82208650000393,91.11138159991242,91.11138159991242,91.11138159991242,91.12253080005758,91.46830529998988,0.5,task,0.35506500001065433,[0.128125],[0.31875],[1],[0],[0],[0.8550650000106543],91.46850079996511,91.47780829994008,7.389998063445091e-05,91.77788900001906,92.78993660002016,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[1.5546519998461008],[],[],[],[],[],[],,,,2,0,2,0,6,0,6,0,92.80000649997965,,,,,,,,,,,,92.79034529998899,92.80000649997965,0.0004058999475091696,92.80000649997965,93.00005470006727,,,,,94.34607689990662,2,task,-0.4453480001538992,[0.128125],[0.31875],[1],[0],[0],[1.5546519998461008],94.34627939993516,94.35620300006121,9.169988334178925e-05,94.65578939998522,95.7452388999518,[],[],[],[],[],[],,,,,,,,94.35620300006121,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[1.1115242999512702],[],[],[],[],[],[],,,,2,0,2,0,7,0,7,0,95.7557268999517,,,,,,,,,,,,95.74547480000183,95.7557268999517,0.00016689999029040337,95.7557268999517,95.95569389988668,96.24454109999351,96.24454109999351,96.24454109999351,96.25570630002767,96.85784849990159,0.5,task,0.6115242999512702,[0.128125],[0.31875],[1],[0],[0],[1.1115242999512702],96.85819660010748,96.86671600001864,0.00011730007827281952,97.16667519998737,98.04538200004026,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[0.9997972999699414],[],[],[],[],[],[],,,,2,0,2,0,8,0,8,0,98.0556999000255,,,,,,,,,,,,98.04572540009394,98.0556999000255,0.00027279998175799847,98.0556999000255,98.2556396999862,98.54474340006709,98.54474340006709,98.54474340006709,98.55589310009964,99.04653730010614,0.5,task,0.4997972999699414,[0.128125],[0.31875],[1],[0],[0],[0.9997972999699414],99.04676640010439,99.0555175000336,0.00010329997166991234,99.35554859996773,100.601161000086,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
9,0,9,[0.128125],[0.31875],[1],[0],[0],[2.520714099984616],[],[],[],[],[],[],,,,2,0,2,0,9,0,9,0,100.61105909990147,,,,,,,,,,,,100.6015220999252,100.61105909990147,0.00027389987371861935,100.61105909990147,100.81073560006917,101.10023889993317,101.10023889993317,101.10023889993317,101.11120319995098,103.12279819999821,0.5,task,2.020714099984616,[0.128125],[0.31875],[1],[0],[0],[2.520714099984616],103.12296529999003,103.1329663998913,8.950009942054749e-05,103.43325000000186,104.70077229989693,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,,,,,,,,,,,,,space,1.3744915002025664,None,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.70394439995289,104.71094379993156,104.71094379993156,106.09097160003148,space,1.3744915002025664,None,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[1.0869467998854816],[],[],[],[],[],[],,,,3,0,3,0,0,0,0,0,106.09992669988424,,,,,,,,,,,,106.09158169990405,106.09992669988424,0.0005771000869572163,106.09992669988424,106.30005509988405,106.58886280003935,106.58886280003935,106.58886280003935,106.59996549994685,107.17942079994828,0.5,task,0.5869467998854816,[0.128125],[0.31875],[1],[0],[0],[1.0869467998854816],107.1796915999148,107.188647700008,0.00011039990931749344,107.4888088000007,108.6780344999861,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[2.4116456999909133],[],[],[],[],[],[],,,,3,0,3,0,1,0,1,0,108.68865419994108,,,,,,,,,,,,108.67817520000972,108.68865419994108,0.00010810000821948051,108.68865419994108,108.88856670004316,110.67771640000865,110.67771640000865,110.67771640000865,110.6887648999691,111.09076140006073,2,task,0.41164569999091327,[0.128125],[0.31875],[1],[0],[0],[2.4116456999909133],111.09100969997235,111.09987240005285,0.00011359993368387222,111.3998829999473,112.76693759998307,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[1.088751700008288],[],[],[],[],[],[],,,,3,0,3,0,2,0,2,0,112.7774122999981,,,,,,,,,,,,112.76721889991313,112.7774122999981,0.0002275998704135418,112.7774122999981,112.97732160007581,113.26659999997355,113.26659999997355,113.26659999997355,113.27768329996616,113.85660589998588,0.5,task,0.588751700008288,[0.128125],[0.31875],[1],[0],[0],[1.088751700008288],113.85684600006789,113.86612050002441,0.00010429997928440571,114.16658479999751,115.37802699999884,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
