thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028033999260514975,0.006620399886742234,0.00250410009175539,3.414682900067419,[0.128125],[0.31875],[1],[0],[0],[3.4111880999989808],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[2.397158100036904],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,3.4232101999223232,,,,,,,,,,,,3.4157022000290453,3.4232101999223232,0.0008945001754909754,3.4232101999223232,3.623379600001499,5.4125946999993175,5.4125946999993175,5.4125946999993175,5.423755099996924,5.813412100076675,2,task,0.3971581000369042,[0.128125],[0.31875],[1],[0],[0],[2.397158100036904],5.813542899908498,5.823377199936658,6.240000948309898e-05,6.123537099920213,7.2800771000329405,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[1.8545759001281112],[],[],[],[],[],[],,,,0,0,0,0,1,0,1,0,7.29025200009346,,,,,,,,,,,,7.280354500049725,7.29025200009346,0.00021079997532069683,7.29025200009346,7.4900446000974625,8.75700689991936,8.75700689991936,8.75700689991936,8.768038399983197,9.135529400082305,1.4765942284660145,task,0.37798167166209673,[0.128125],[0.31875],[1],[0],[0],[1.8545759001281112],9.135647099930793,9.14550149999559,5.150004290044308e-05,9.445688900072128,10.679779900005087,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[0.9444243998732418],[],[],[],[],[],[],,,,0,0,0,0,2,0,2,0,10.68999129999429,,,,,,,,,,,,10.680007300106809,10.68999129999429,0.0001680999994277954,10.68999129999429,10.890013299882412,11.17905699997209,11.17905699997209,11.17905699997209,11.190133899915963,11.6251475000754,0.5,task,0.4444243998732418,[0.128125],[0.31875],[1],[0],[0],[0.9444243998732418],11.625429299892858,11.634598900098354,0.00014139991253614426,11.934814899927005,13.202280800091103,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[2.376723799854517],[],[],[],[],[],[],,,,0,0,0,0,3,0,3,0,13.212331800023094,,,,,,,,,,,,13.20264929998666,13.212331800023094,0.0002598999999463558,13.212331800023094,13.412389100063592,15.201598400017247,15.201598400017247,15.201598400017247,15.212622199906036,15.580142399994656,2,task,0.376723799854517,[0.128125],[0.31875],[1],[0],[0],[2.376723799854517],15.580306600080803,15.589658099925146,7.129996083676815e-05,15.889973199926317,17.024615600006655,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[2.4560922000091523],[],[],[],[],[],[],,,,0,0,0,0,4,0,4,0,17.034681200049818,,,,,,,,,,,,17.02502020006068,17.034681200049818,0.0003170999698340893,17.034681200049818,17.234416299965233,19.023665300104767,19.023665300104767,19.023665300104767,19.034760399954394,19.482105900067836,2,task,0.4560922000091523,[0.128125],[0.31875],[1],[0],[0],[2.4560922000091523],19.482324700104073,19.490012200083584,0.00010359985753893852,19.789888199884444,20.7348239000421,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[2.3778939000330865],[],[],[],[],[],[],,,,0,0,0,0,5,0,5,0,20.74555450002663,,,,,,,,,,,,20.734977399930358,20.74555450002663,0.00011890009045600891,20.74555450002663,20.945380700053647,22.734505099942908,22.734505099942908,22.734505099942908,22.74570450000465,23.113282799953595,2,task,0.37789390003308654,[0.128125],[0.31875],[1],[0],[0],[2.3778939000330865],23.113434199942276,23.12324279989116,6.46000262349844e-05,23.423150399932638,24.501529600005597,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[2.477757199900225],[],[],[],[],[],[],,,,0,0,0,0,6,0,6,0,24.512044599978253,,,,,,,,,,,,24.501789100002497,24.512044599978253,0.00019989977590739727,24.512044599978253,24.712050500093028,26.50096939993091,26.50096939993091,26.50096939993091,26.512041799956933,26.98048619995825,2,task,0.4777571999002248,[0.128125],[0.31875],[1],[0],[0],[2.477757199900225],26.980717499973252,26.989700200036168,0.0001183999702334404,27.28975380002521,28.200219799997285,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[0.9787471999879926],[],[],[],[],[],[],,,,0,0,0,0,7,0,7,0,28.210768799996004,,,,,,,,,,,,28.200544300023466,28.210768799996004,0.00026439991779625416,28.210768799996004,28.41191969998181,28.701082800049335,28.701082800049335,28.701082800049335,28.712050799978897,29.180014099925756,0.5,task,0.47874719998799264,[0.128125],[0.31875],[1],[0],[0],[0.9787471999879926],29.18036110000685,29.189747700002044,0.00014679995365440845,29.489651599898934,30.82300790003501,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[2.423129899892956],[],[],[],[],[],[],,,,0,0,0,0,8,0,8,0,30.83422189997509,,,,,,,,,,,,30.823152099968866,30.83422189997509,0.00010389997623860836,30.83422189997509,31.03449960006401,32.82333040004596,32.82333040004596,32.82333040004596,32.83438339992426,33.24696579994634,2,task,0.423129899892956,[0.128125],[0.31875],[1],[0],[0],[2.423129899892956],33.2472548999358,33.25611969991587,0.00014789984561502934,33.55616110004485,34.590137500083074,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
