thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0029206000035628676,0.0076209999970160425,0.002753899956587702,1.091550000011921,[-0.15833333333333333],[-0.08796296296296297],[1],[0],[0],[1.0880715000093915],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
0,0,0,[-0.15555555555555556],[-0.08518518518518518],[1],[0],[0],[2.2943772000144236],[],[],[],[],[],[],0,0,0,0,0,0,0,0,1.1066006000037305,,,,,,,,,,,,1.0965210999711417,1.1066006000037305,0.00489530002232641,1.1066006000037305,1.3070012999814935,3.1072296000202186,3.1072296000202186,3.1072296000202186,3.1242284000036307,3.391702399996575,2,task,0.2943772000144236,[-0.15555555555555556],[-0.08518518518518518],[1],[0],[0],[2.2943772000144236],3.392197099979967,3.4070557999657467,0.000341300037689507,3.7065597000182606,4.9245347999967635,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
1,0,1,[-0.15],[-0.07407407407407407],[1],[0],[0],[2.582862599985674],[],[],[],[],[],[],0,0,0,0,1,0,1,0,4.940424699976575,,,,,,,,,,,,4.92486500000814,4.940424699976575,0.0002627999638207257,4.940424699976575,5.140501599991694,6.923821799980942,6.923821799980942,6.923821799980942,6.940529100014828,7.508504799974617,2,task,0.582862599985674,[-0.15],[-0.07407407407407407],[1],[0],[0],[2.582862599985674],7.508975900011137,7.52385499997763,0.00033190002432093024,7.823564200021792,9.14123720000498,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
2,0,2,[-0.1425925925925926],[-0.06111111111111111],[1],[0],[0],[2.349628299998585],[],[],[],[],[],[],0,0,0,0,2,0,2,0,9.156562599993777,,,,,,,,,,,,9.141535800008569,9.156562599993777,0.00023060000967234373,9.156562599993777,9.35687349998625,11.157194399973378,11.157194399973378,11.157194399973378,11.17388730001403,11.492042500001844,2,task,0.34962829999858513,[-0.1425925925925926],[-0.06111111111111111],[1],[0],[0],[2.349628299998585],11.492570800008252,11.507274699979462,0.0004050999996252358,11.807018899999093,12.824537999986205,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
3,0,3,[-0.14537037037037037],[-0.06018518518518518],[1],[0],[0],[2.44967290002387],[],[],[],[],[],[],0,0,0,0,3,0,3,0,12.84050190000562,,,,,,,,,,,,12.824858199979644,12.84050190000562,0.00024850002955645323,12.84050190000562,13.040654000011273,14.823833999980707,14.823833999980707,14.823833999980707,14.84033229999477,15.275531399995089,2,task,0.44967290002387017,[-0.14537037037037037],[-0.06018518518518518],[1],[0],[0],[2.44967290002387],15.276033699978143,15.290550099976826,0.0003293000045232475,15.5903686999809,16.60784519999288,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
4,0,4,[-0.14444444444444443],[-0.04351851851851852],[1],[0],[0],[2.34961239999393],[],[],[],[],[],[],0,0,0,0,4,0,4,0,16.623761299997568,,,,,,,,,,,,16.608148199971765,16.623761299997568,0.0002297000028192997,16.623761299997568,16.82381929998519,18.60733089997666,18.60733089997666,18.60733089997666,18.624248699983582,18.958564799977466,2,task,0.34961239999393,[-0.14444444444444443],[-0.04351851851851852],[1],[0],[0],[2.34961239999393],18.95896379998885,18.97418939997442,0.00023880001390352845,19.273791100014932,20.55787819996476,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
5,0,5,[-0.14907407407407408],[-0.044444444444444446],[1],[0],[0],[2.2832673999946564],[],[],[],[],[],[],0,0,0,0,5,0,5,0,20.573784700012766,,,,,,,,,,,,20.55820390000008,20.573784700012766,0.0002494999789632857,20.573784700012766,20.773763999983203,22.557233900006395,22.557233900006395,22.557233900006395,22.573793300020043,22.84222419996513,2,task,0.28326739999465644,[-0.14907407407407408],[-0.044444444444444446],[1],[0],[0],[2.2832673999946564],22.842573300004005,22.85707620001631,0.00021649996051564813,23.15744249999989,24.241425900021568,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
6,0,6,[-0.15648148148148147],[-0.040740740740740744],[1],[0],[0],[2.432461799995508],[],[],[],[],[],[],0,0,0,0,6,0,6,0,24.257152599981055,,,,,,,,,,,,24.2417028999771,24.257152599981055,0.00020840001525357366,24.257152599981055,24.45699350000359,26.256869699980598,26.256869699980598,26.256869699980598,26.273558599990793,26.674779299995862,2,task,0.43246179999550804,[-0.15648148148148147],[-0.040740740740740744],[1],[0],[0],[2.432461799995508],26.675084099988453,26.69028330000583,0.00018879998242482543,26.99030689999927,28.224270700011402,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
7,0,7,[-0.1685185185185185],[-0.04537037037037037],[1],[0],[0],[2.2665154000278562],[],[],[],[],[],[],0,0,0,0,7,0,7,0,28.240266599983443,,,,,,,,,,,,28.224604699993506,28.240266599983443,0.0002658999874256551,28.240266599983443,28.439783599984366,30.22364879999077,30.22364879999077,30.22364879999077,30.240334399975836,30.49169559997972,2,task,0.26651540002785623,[-0.1685185185185185],[-0.04537037037037037],[1],[0],[0],[2.2665154000278562],30.491984899970703,30.507023099984508,0.00019869999960064888,30.80726789997425,31.89087040000595,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
8,0,8,[-0.16944444444444445],[-0.04351851851851852],[1],[0],[0],[2.2500709000159986],[],[],[],[],[],[],0,0,0,0,8,0,8,0,31.907035599986557,,,,,,,,,,,,31.891152399999555,31.907035599986557,0.0002183000324293971,31.907035599986557,32.10693289997289,33.8905866999994,33.8905866999994,33.8905866999994,33.907124000019394,34.141854399989825,2,task,0.25007090001599863,[-0.16944444444444445],[-0.04351851851851852],[1],[0],[0],[2.2500709000159986],34.14218829997117,34.15695859998232,0.00019839999731630087,34.456937699986156,35.69166630000109,[],[],[],[],[],[],338801,001,2025-01-28_11h28.09.343,Foreperiod_task,2024.2.1post4,60.007909046748985,2025-01-28 11h28.15.068366 -0800,
