thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.002728000283241272,0.014116500038653612,0.002573300153017044,5.3331074002198875,[-0.05462962962962963],[0.2537037037037037],[1],[0],[0],[5.3297007996588945],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
0,0,0,[-0.05185185185185185],[0.2675925925925926],[1],[0],[0],[3.064510999713093],[],[],[],[],[],[],0,0,0,0,0,0,0,0,5.348468200303614,,,,,,,,,,,,5.334562600124627,5.348468200303614,0.0013394998386502266,5.348468200303614,5.548428300302476,7.348285499960184,7.348285499960184,7.348285499960184,7.365005900152028,8.399844100233167,2,task,1.064510999713093,[-0.05185185185185185],[0.2675925925925926],[1],[0],[0],[3.064510999713093],8.400122900027782,8.415273800026625,0.00012800004333257675,8.714972800109535,10.065775300376117,[],[],[],[],[],[],,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
1,0,1,[-0.06388888888888888],[0.2953703703703704],[1],[0],[0],[0.6330502997152507],[],[],[],[],[],[],0,0,0,0,1,0,1,0,10.081561600323766,,,,,,,,,,,,10.066097300034016,10.081561600323766,0.0002468000166118145,10.081561600323766,10.28164970036596,,,,,10.700023300014436,2,task,-1.3669497002847493,[-0.06388888888888888],[0.2953703703703704],[1],[0],[0],[0.6330502997152507],10.700318100396544,10.715388200245798,0.00013739988207817078,11.014850300271064,12.36562449997291,[],[],[],[],[],[],10.715388200245798,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
2,0,2,[-0.06111111111111111],[0.5],[1],[0],[0],[2.483152000233531],[],[],[],[],[],[],0,0,0,0,2,0,2,0,12.38188170036301,,,,,,,,,,,,12.365895600058138,12.38188170036301,0.00020850030705332756,12.38188170036301,12.5816890001297,14.364656400401145,14.364656400401145,14.364656400401145,14.381904799956828,14.84982050023973,2,task,0.483152000233531,[-0.06111111111111111],[0.5],[1],[0],[0],[2.483152000233531],14.85011550039053,14.865118000190705,0.0001380997709929943,15.164316799957305,16.265794900245965,[],[],[],[],[],[],,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
3,0,3,[-0.025],[0.5],[1],[0],[0],[7.84935519983992],[],[],[],[],[],[],0,0,0,0,3,0,3,0,16.281668500043452,,,,,,,,,,,,16.266265700105578,16.281668500043452,0.0003137001767754555,16.281668500043452,16.481679300311953,16.781620500143617,16.781620500143617,16.781620500143617,16.79817150020972,24.11636990029365,0.5,task,7.34935519983992,[-0.025],[0.5],[1],[0],[0],[7.84935519983992],24.116627300158143,24.131627600174397,0.00011900020763278008,24.431597500108182,25.682129600085318,[],[],[],[],[],[],,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
4,0,4,[-0.018518518518518517],[0.5],[1],[0],[0],[0.8997214999981225],[],[],[],[],[],[],0,0,0,0,4,0,4,0,25.69821870001033,,,,,,,,,,,,25.68246680032462,25.69821870001033,0.00026170024648308754,25.69821870001033,25.898205700330436,26.181606700178236,26.181606700178236,26.181606700178236,26.19821389997378,26.583103300072253,0.5,task,0.39972149999812245,[-0.018518518518518517],[0.5],[1],[0],[0],[0.8997214999981225],26.58340290002525,26.59824090031907,0.0001330999657511711,26.898345600347966,27.81571130035445,[],[],[],[],[],[],,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
5,0,5,[-0.017592592592592594],[0.5],[1],[0],[0],[1.6657769000157714],[],[],[],[],[],[],0,0,0,0,5,0,5,0,27.831620200071484,,,,,,,,,,,,27.816076500341296,27.831620200071484,0.0002871002070605755,27.831620200071484,28.031532700173557,29.148116500116885,29.148116500116885,29.148116500116885,29.164934600237757,29.48263050010428,1.3305760842563537,task,0.33520081575941774,[-0.017592592592592594],[0.5],[1],[0],[0],[1.6657769000157714],29.48291840031743,29.4982048003003,0.00013509998098015785,29.798204800114036,30.69918440002948,[],[],[],[],[],[],,097326,001,2025-02-28_08h38.36.912,Foreperiod_task,2024.2.1post4,60.08304673408552,2025-02-28 08h38.40.770345 -0800,
6,0,6,,,,,,,,,,,,,,,,,6,0,6,0,30.714986900333315,,,,,,,,,,,,30.699510500300676,30.714986900333315,0.00025269994512200356,30.714986900333315,30.914946500211954,31.198371900245547,31.198371900245547,31.198371900245547,31.215174900367856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
