59.6032 	EXP 	New trial (rep=16, index=0): <Trial 16 (0 in rep 16) data={'thisN': 16, 'thisTrialN': 0, 'thisRepN': 16}>
59.6191 	EXP 	text: autoDraw = False
59.6191 	EXP 	Photodiode_2: autoDraw = False
59.6191 	EXP 	AVG: text = ''
59.6191 	EXP 	PLUS_FP: autoDraw = True
59.6191 	EXP 	AVG: autoDraw = True
60.1027 	EXP 	PLUS_FP: autoDraw = False
60.1027 	EXP 	polygon: autoDraw = True
60.4871 	DATA 	Mouse: Left button down, pos=(919,682)
60.5031 	EXP 	PLUS_FP: autoDraw = False
60.5031 	EXP 	polygon: autoDraw = False
60.5031 	EXP 	AVG: autoDraw = False
60.5031 	EXP 	Photodiode_2: autoDraw = True
60.5703 	DATA 	Mouse:  Left button up, pos=(919,682)
61.0037 	EXP 	Photodiode_2: autoDraw = False
61.8718 	EXP 	New trial (rep=17, index=0): <Trial 17 (0 in rep 17) data={'thisN': 17, 'thisTrialN': 0, 'thisRepN': 17}>
61.8873 	EXP 	text: autoDraw = False
61.8873 	EXP 	Photodiode_2: autoDraw = False
61.8873 	EXP 	AVG: text = ''
61.8873 	EXP 	PLUS_FP: autoDraw = True
61.8873 	EXP 	AVG: autoDraw = True
62.3713 	EXP 	PLUS_FP: autoDraw = False
62.3713 	EXP 	polygon: autoDraw = True
62.6555 	DATA 	Mouse: Left button down, pos=(919,682)
62.6717 	EXP 	PLUS_FP: autoDraw = False
62.6717 	EXP 	polygon: autoDraw = False
62.6717 	EXP 	AVG: autoDraw = False
62.6717 	EXP 	Photodiode_2: autoDraw = True
62.7720 	DATA 	Mouse:  Left button up, pos=(919,682)
63.1720 	EXP 	Photodiode_2: autoDraw = False
63.9398 	EXP 	New trial (rep=18, index=0): <Trial 18 (0 in rep 18) data={'thisN': 18, 'thisTrialN': 0, 'thisRepN': 18}>
63.9559 	EXP 	text: autoDraw = False
63.9559 	EXP 	Photodiode_2: autoDraw = False
63.9559 	EXP 	AVG: text = ''
63.9559 	EXP 	PLUS_FP: autoDraw = True
63.9559 	EXP 	AVG: autoDraw = True
65.1236 	EXP 	PLUS_FP: autoDraw = False
65.1236 	EXP 	polygon: autoDraw = True
65.4745 	DATA 	Mouse: Left button down, pos=(919,682)
65.4908 	EXP 	PLUS_FP: autoDraw = False
65.4908 	EXP 	polygon: autoDraw = False
65.4908 	EXP 	AVG: autoDraw = False
65.4908 	EXP 	Photodiode_2: autoDraw = True
65.5746 	DATA 	Mouse:  Left button up, pos=(919,682)
66.6749 	EXP 	Photodiode_2: autoDraw = False
67.0093 	EXP 	New trial (rep=19, index=0): <Trial 19 (0 in rep 19) data={'thisN': 19, 'thisTrialN': 0, 'thisRepN': 19}>
67.0253 	EXP 	text: autoDraw = False
67.0253 	EXP 	Photodiode_2: autoDraw = False
67.0253 	EXP 	AVG: text = ''
67.0253 	EXP 	PLUS_FP: autoDraw = True
67.0253 	EXP 	AVG: autoDraw = True
69.0101 	EXP 	PLUS_FP: autoDraw = False
69.0101 	EXP 	polygon: autoDraw = True
69.4622 	DATA 	Mouse: Left button down, pos=(919,682)
69.4772 	EXP 	PLUS_FP: autoDraw = False
69.4772 	EXP 	polygon: autoDraw = False
69.4772 	EXP 	AVG: autoDraw = False
69.4772 	EXP 	Photodiode_2: autoDraw = True
69.5451 	DATA 	Mouse:  Left button up, pos=(919,682)
70.7623 	EXP 	New trial (rep=20, index=0): <Trial 20 (0 in rep 20) data={'thisN': 20, 'thisTrialN': 0, 'thisRepN': 20}>
70.7786 	EXP 	text: autoDraw = False
70.7786 	EXP 	Photodiode_2: autoDraw = False
70.7786 	EXP 	AVG: text = ''
70.7786 	EXP 	PLUS_FP: autoDraw = True
70.7786 	EXP 	AVG: autoDraw = True
71.2621 	EXP 	PLUS_FP: autoDraw = False
71.2621 	EXP 	polygon: autoDraw = True
71.8801 	DATA 	Mouse: Left button down, pos=(919,682)
71.8959 	EXP 	PLUS_FP: autoDraw = False
71.8959 	EXP 	polygon: autoDraw = False
71.8959 	EXP 	AVG: autoDraw = False
71.8959 	EXP 	Photodiode_2: autoDraw = True
71.9797 	DATA 	Mouse:  Left button up, pos=(919,682)
72.3963 	EXP 	Photodiode_2: autoDraw = False
73.4136 	EXP 	New trial (rep=21, index=0): <Trial 21 (0 in rep 21) data={'thisN': 21, 'thisTrialN': 0, 'thisRepN': 21}>
73.4299 	EXP 	text: autoDraw = False
73.4299 	EXP 	Photodiode_2: autoDraw = False
73.4299 	EXP 	AVG: text = ''
73.4299 	EXP 	PLUS_FP: autoDraw = True
73.4299 	EXP 	AVG: autoDraw = True
75.4156 	EXP 	PLUS_FP: autoDraw = False
75.4156 	EXP 	polygon: autoDraw = True
75.9332 	DATA 	Mouse: Left button down, pos=(919,682)
75.9494 	EXP 	PLUS_FP: autoDraw = False
75.9494 	EXP 	polygon: autoDraw = False
75.9494 	EXP 	AVG: autoDraw = False
75.9494 	EXP 	Photodiode_2: autoDraw = True
76.0172 	DATA 	Mouse:  Left button up, pos=(919,682)
77.5182 	EXP 	New trial (rep=22, index=0): <Trial 22 (0 in rep 22) data={'thisN': 22, 'thisTrialN': 0, 'thisRepN': 22}>
77.5340 	EXP 	text: autoDraw = False
77.5340 	EXP 	Photodiode_2: autoDraw = False
77.5340 	EXP 	AVG: text = ''
77.5340 	EXP 	PLUS_FP: autoDraw = True
77.5340 	EXP 	AVG: autoDraw = True
78.0177 	EXP 	PLUS_FP: autoDraw = False
78.0177 	EXP 	polygon: autoDraw = True
78.6356 	DATA 	Mouse: Left button down, pos=(919,682)
78.6515 	EXP 	PLUS_FP: autoDraw = False
78.6515 	EXP 	polygon: autoDraw = False
78.6515 	EXP 	AVG: autoDraw = False
78.6515 	EXP 	Photodiode_2: autoDraw = True
78.7192 	DATA 	Mouse:  Left button up, pos=(919,682)
79.1519 	EXP 	Photodiode_2: autoDraw = False
80.0866 	EXP 	New trial (rep=23, index=0): <Trial 23 (0 in rep 23) data={'thisN': 23, 'thisTrialN': 0, 'thisRepN': 23}>
80.1026 	EXP 	text: autoDraw = False
80.1026 	EXP 	Photodiode_2: autoDraw = False
80.1026 	EXP 	AVG: text = ''
80.1026 	EXP 	PLUS_FP: autoDraw = True
80.1026 	EXP 	AVG: autoDraw = True
82.0877 	EXP 	PLUS_FP: autoDraw = False
82.0877 	EXP 	polygon: autoDraw = True
82.5056 	DATA 	Mouse: Left button down, pos=(919,682)
82.5216 	EXP 	PLUS_FP: autoDraw = False
82.5216 	EXP 	polygon: autoDraw = False
82.5216 	EXP 	AVG: autoDraw = False
82.5216 	EXP 	Photodiode_2: autoDraw = True
82.6386 	DATA 	Mouse:  Left button up, pos=(919,682)
83.9071 	EXP 	New trial (rep=24, index=0): <Trial 24 (0 in rep 24) data={'thisN': 24, 'thisTrialN': 0, 'thisRepN': 24}>
83.9226 	EXP 	text: autoDraw = False
83.9226 	EXP 	Photodiode_2: autoDraw = False
83.9226 	EXP 	AVG: text = ''
83.9226 	EXP 	PLUS_FP: autoDraw = True
83.9226 	EXP 	AVG: autoDraw = True
85.9077 	EXP 	PLUS_FP: autoDraw = False
85.9077 	EXP 	polygon: autoDraw = True
86.2087 	DATA 	Mouse: Left button down, pos=(919,682)
86.2247 	EXP 	PLUS_FP: autoDraw = False
86.2247 	EXP 	polygon: autoDraw = False
