4.8888 	EXP 	Screen (0) actual frame rate measured at 60.11Hz
4.8889 	EXP 	window1: recordFrameIntervals = False
4.8892 	EXP 	window1: mouseVisible = False
6.3070 	EXP 	Foreperiod_task: status = STARTED
6.3071 	EXP 	window1: mouseVisible = False
6.3592 	EXP 	Created Welcome_Text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Welcome_Text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.3629 	EXP 	window1: mouseVisible = False
6.3651 	EXP 	Created PLUS_FP = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='PLUS_FP', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3651 	EXP 	window1: mouseVisible = False
6.3659 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3660 	EXP 	window1: mouseVisible = False
6.3665 	EXP 	Created Photodiode_polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_polygon', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
6.3665 	EXP 	window1: mouseVisible = False
6.3671 	EXP 	Created Photodiode_plus = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_plus', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
6.3671 	EXP 	window1: mouseVisible = False
6.3674 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([ 0.  , -0.35]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
6.3675 	EXP 	window1: mouseVisible = False
6.3680 	EXP 	Created Photodiode_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_2', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
6.3681 	EXP 	window1: mouseVisible = False
6.3686 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0192 	EXP 	Welcome_Text: autoDraw = True
0.9207 	DATA 	Keypress: space
1.3373 	DATA 	Mouse: Left button down, pos=(963,694)
1.3387 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.3394 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.3530 	EXP 	Welcome_Text: autoDraw = False
1.3530 	EXP 	PLUS_FP: autoDraw = True
1.3530 	EXP 	Photodiode_plus: autoDraw = True
1.4365 	DATA 	Mouse:  Left button up, pos=(964,694)
1.5524 	EXP 	Photodiode_plus: autoDraw = False
1.8531 	EXP 	PLUS_FP: autoDraw = False
1.8531 	EXP 	polygon: autoDraw = True
1.8531 	EXP 	Photodiode_polygon: autoDraw = True
1.8698 	EXP 	Photodiode_polygon: autoDraw = False
5.3871 	DATA 	Mouse: Left button down, pos=(964,714)
5.4031 	EXP 	PLUS_FP: autoDraw = False
5.4031 	EXP 	polygon: autoDraw = False
5.4031 	EXP 	Photodiode_polygon: autoDraw = False
5.4031 	EXP 	Photodiode_plus: autoDraw = False
5.4031 	EXP 	Photodiode_2: autoDraw = True
5.4863 	DATA 	Mouse:  Left button up, pos=(964,714)
5.7033 	EXP 	Photodiode_2: autoDraw = False
6.7709 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
6.7865 	EXP 	text: autoDraw = False
6.7865 	EXP 	Photodiode_2: autoDraw = False
6.7865 	EXP 	PLUS_FP: autoDraw = True
6.7865 	EXP 	Photodiode_plus: autoDraw = True
6.9864 	EXP 	Photodiode_plus: autoDraw = False
8.7699 	EXP 	PLUS_FP: autoDraw = False
8.7699 	EXP 	polygon: autoDraw = True
8.7699 	EXP 	Photodiode_polygon: autoDraw = True
8.7864 	EXP 	Photodiode_polygon: autoDraw = False
14.6704 	DATA 	Mouse: Left button down, pos=(1170,835)
14.6867 	EXP 	PLUS_FP: autoDraw = False
14.6867 	EXP 	polygon: autoDraw = False
14.6867 	EXP 	Photodiode_polygon: autoDraw = False
14.6867 	EXP 	Photodiode_plus: autoDraw = False
14.6867 	EXP 	Photodiode_2: autoDraw = True
14.7702 	DATA 	Mouse:  Left button up, pos=(1163,835)
14.9864 	EXP 	Photodiode_2: autoDraw = False
15.9048 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
15.9200 	EXP 	text: autoDraw = False
15.9200 	EXP 	Photodiode_2: autoDraw = False
15.9200 	EXP 	PLUS_FP: autoDraw = True
15.9200 	EXP 	Photodiode_plus: autoDraw = True
16.1199 	EXP 	Photodiode_plus: autoDraw = False
17.2199 	EXP 	PLUS_FP: autoDraw = False
17.2199 	EXP 	polygon: autoDraw = True
17.2199 	EXP 	Photodiode_polygon: autoDraw = True
17.2365 	EXP 	Photodiode_polygon: autoDraw = False
17.5539 	DATA 	Mouse: Left button down, pos=(1110,853)
17.5699 	EXP 	PLUS_FP: autoDraw = False
17.5699 	EXP 	polygon: autoDraw = False
17.5699 	EXP 	Photodiode_polygon: autoDraw = False
17.5699 	EXP 	Photodiode_plus: autoDraw = False
17.5699 	EXP 	Photodiode_2: autoDraw = True
17.6537 	DATA 	Mouse:  Left button up, pos=(1112,853)
17.8698 	EXP 	Photodiode_2: autoDraw = False
18.7711 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
18.7865 	EXP 	text: autoDraw = False
18.7865 	EXP 	Photodiode_2: autoDraw = False
18.7865 	EXP 	PLUS_FP: autoDraw = True
18.7865 	EXP 	Photodiode_plus: autoDraw = True
18.9864 	EXP 	Photodiode_plus: autoDraw = False
19.9205 	DATA 	Mouse: Left button down, pos=(1112,853)
19.9358 	EXP 	PLUS_FP: autoDraw = False
19.9358 	EXP 	polygon: autoDraw = False
19.9358 	EXP 	Photodiode_polygon: autoDraw = False
19.9358 	EXP 	Photodiode_plus: autoDraw = False
19.9358 	EXP 	text: autoDraw = True
19.9358 	EXP 	Photodiode_2: autoDraw = True
20.0533 	DATA 	Mouse:  Left button up, pos=(1112,853)
20.2367 	EXP 	Photodiode_2: autoDraw = False
21.1204 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
21.1366 	EXP 	text: autoDraw = False
21.1366 	EXP 	Photodiode_2: autoDraw = False
21.1366 	EXP 	PLUS_FP: autoDraw = True
21.1366 	EXP 	Photodiode_plus: autoDraw = True
21.3362 	EXP 	Photodiode_plus: autoDraw = False
22.0039 	DATA 	Keypress: escape
22.1215 	EXP 	Foreperiod_task: status = STOPPED
22.1367 	EXP 	PLUS_FP: autoDraw = False
22.1368 	EXP 	Foreperiod_task: status = STOPPED
22.1701 	EXP 	window1: mouseVisible = True
