thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00895719975233078,0.02509990008547902,0.008804500102996826,4.56316679995507,[0.10333333333333333],[0.39],[1],[0],[0],[4.55375469988212],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
0,0,0,[0.13166666666666665],[0.32166666666666666],[1],[0],[0],[2.299036500044167],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,4.57534520002082,,,,,,,,,,,,4.563851399812847,4.57534520002082,0.0005924999713897705,4.57534520002082,4.775650199968368,6.575400500092655,6.575400500092655,6.575400500092655,6.59247069992125,6.863388000056148,2,task,0.29903650004416704,[0.13166666666666665],[0.32166666666666666],[1],[0],[0],[2.299036500044167],6.86356409965083,6.8758555999957025,8.190004155039787e-05,7.175680399872363,8.2286430997774,[],[],[],[],[],[],,,,,,,,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
0,0,0,,,,,,,,,,,,,space,1.177236800082028,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.229582800064236,8.241463500075042,8.241463500075042,9.428669299930334,space,1.177236800082028,None,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
0,0,0,[0.03666666666666667],[0.3933333333333333],[1],[0],[0],[1.549554600380361],[],[],[],[],[],[],,,,1,0,1,0,0,0,0,0,9.442269299644977,,,,,,,,,,,,9.428998299874365,9.442269299644977,0.00031189993023872375,9.442269299644977,9.642283400055021,10.725786899682134,10.725786899682134,10.725786899682134,10.742635800037533,10.978940399829298,1.295844339041063,task,0.2537102613392981,[0.03666666666666667],[0.3933333333333333],[1],[0],[0],[1.549554600380361],10.979090699926019,10.992610099725425,6.980029866099358e-05,11.292637600097805,12.61167569970712,[],[],[],[],[],[],,,,,,,,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
1,0,1,,,,,,,,,,,,,space,0.28830659994855523,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.612480399664491,12.625686599873006,12.625686599873006,12.929113999940455,space,0.28830659994855523,None,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
0,0,0,[0.03666666666666667],[0.3933333333333333],[1],[0],[0],[2.283155800309032],[],[],[],[],[],[],,,,2,0,2,0,0,0,0,0,12.942287399899215,,,,,,,,,,,,12.929476699791849,12.942287399899215,0.00034450041130185127,12.942287399899215,13.142585099674761,14.942605199757963,14.942605199757963,14.942605199757963,14.959145300090313,15.213128499686718,2,task,0.2831558003090322,[0.03666666666666667],[0.3933333333333333],[1],[0],[0],[2.283155800309032],15.213322499766946,15.225999599788338,8.719973266124725e-05,15.5257967999205,16.82929669972509,[],[],[],[],[],[],,,,,,,,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
2,0,2,,,,,,,,,,,,,space,0.4866701001301408,None,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.830649899784476,16.84269169997424,16.84269169997424,17.34540360001847,space,0.4866701001301408,None,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
0,0,0,[0.03666666666666667],[0.3933333333333333],[1],[0],[0],[1.1489459001459181],[],[],[],[],[],[],,,,3,0,3,0,0,0,0,0,17.358959099743515,,,,,,,,,,,,17.345822399947792,17.358959099743515,0.0004015001468360424,17.358959099743515,17.559205200057477,17.859210999682546,17.859210999682546,17.859210999682546,17.87545199971646,18.495162999723107,0.5,task,0.6489459001459181,[0.03666666666666667],[0.3933333333333333],[1],[0],[0],[1.1489459001459181],18.49531209981069,18.508943299762905,6.850017234683037e-05,18.80923609994352,20.128858299925923,[],[],[],[],[],[],,,,,,,,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
3,0,3,,,,,,,,,,,,,space,0.4749710001051426,None,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.13002680009231,20.142490099649876,20.142490099649876,20.629312499891967,space,0.4749710001051426,None,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
0,0,0,[0.10666666666666667],[0.31833333333333336],[1],[0],[0],[0.8493167003616691],[],[],[],[],[],[],,,,4,0,4,0,0,0,0,0,20.642252899706364,,,,,,,,,,,,20.62968109967187,20.642252899706364,0.0003491002134978771,20.642252899706364,20.84228099975735,21.14246020000428,21.14246020000428,21.14246020000428,21.159380899742246,21.47944869985804,0.5,task,0.34931670036166906,[0.10666666666666667],[0.31833333333333336],[1],[0],[0],[0.8493167003616691],21.479615099728107,21.49223449965939,7.309997454285622e-05,21.79267629981041,23.1624062997289,[],[],[],[],[],[],,,,,,,,401389,001,2025-02-28_08h36.31.685,Foreperiod_task,2024.2.1post4,61.13676461869177,2025-02-28 08h36.44.318127 -0800,
