thisN,thisTrialN,thisRepN,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0027429992333054543,0.006884099915623665,0.0025374004617333412,0.6254237992689013,[0.05740740740740741],[-0.22777777777777777],[1],[0],[0],[0.6219854997470975],,,,,,,,,,,,,,,,,,,,,719896,001,2024-11-16_14h42.45.541,Foreperiod_task,2024.2.1post4,59.908400014470736,2024-11-16 14h42.48.378717 -0800,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.6402829997241497,,,,,,,,,,,,0.629144299775362,0.6402829997241497,0.0035955999046564102,0.6402829997241497,0.841058099642396,2.625827799551189,2.625827799551189,2.625827799551189,2.6425212994217873,2.8775201998651028,2,normal,0.24752880074083805,[0.05740740740740741],[-0.22777777777777777],[1],[0],[0],[2.247528800740838],2.878009899519384,,,,,,,,
