12.3819 	EXP 	text: autoDraw = False
12.3819 	EXP 	Photodiode_2: autoDraw = False
12.3819 	EXP 	PLUS_FP: autoDraw = True
12.3819 	EXP 	Photodiode_plus: autoDraw = True
12.5817 	EXP 	Photodiode_plus: autoDraw = False
14.3647 	EXP 	PLUS_FP: autoDraw = False
14.3647 	EXP 	polygon: autoDraw = True
14.3647 	EXP 	Photodiode_polygon: autoDraw = True
14.3819 	EXP 	Photodiode_polygon: autoDraw = False
14.8489 	DATA 	Mouse: Left button down, pos=(894,1080)
14.8651 	EXP 	PLUS_FP: autoDraw = False
14.8651 	EXP 	polygon: autoDraw = False
14.8651 	EXP 	Photodiode_polygon: autoDraw = False
14.8651 	EXP 	Photodiode_plus: autoDraw = False
14.8651 	EXP 	Photodiode_2: autoDraw = True
14.9980 	DATA 	Mouse:  Left button up, pos=(894,1080)
15.1643 	EXP 	Photodiode_2: autoDraw = False
16.2662 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
16.2817 	EXP 	text: autoDraw = False
16.2817 	EXP 	Photodiode_2: autoDraw = False
16.2817 	EXP 	PLUS_FP: autoDraw = True
16.2817 	EXP 	Photodiode_plus: autoDraw = True
16.4817 	EXP 	Photodiode_plus: autoDraw = False
16.7816 	EXP 	PLUS_FP: autoDraw = False
16.7816 	EXP 	polygon: autoDraw = True
16.7816 	EXP 	Photodiode_polygon: autoDraw = True
16.7982 	EXP 	Photodiode_polygon: autoDraw = False
24.1156 	DATA 	Mouse: Left button down, pos=(933,1080)
24.1316 	EXP 	PLUS_FP: autoDraw = False
24.1316 	EXP 	polygon: autoDraw = False
24.1316 	EXP 	Photodiode_polygon: autoDraw = False
24.1316 	EXP 	Photodiode_plus: autoDraw = False
24.1316 	EXP 	Photodiode_2: autoDraw = True
24.2317 	DATA 	Mouse:  Left button up, pos=(933,1080)
24.4316 	EXP 	Photodiode_2: autoDraw = False
25.6824 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
25.6982 	EXP 	text: autoDraw = False
25.6982 	EXP 	Photodiode_2: autoDraw = False
25.6982 	EXP 	PLUS_FP: autoDraw = True
25.6982 	EXP 	Photodiode_plus: autoDraw = True
25.8982 	EXP 	Photodiode_plus: autoDraw = False
26.1816 	EXP 	PLUS_FP: autoDraw = False
26.1816 	EXP 	polygon: autoDraw = True
26.1816 	EXP 	Photodiode_polygon: autoDraw = True
26.1982 	EXP 	Photodiode_polygon: autoDraw = False
26.5821 	DATA 	Mouse: Left button down, pos=(940,1080)
26.5982 	EXP 	PLUS_FP: autoDraw = False
26.5982 	EXP 	polygon: autoDraw = False
26.5982 	EXP 	Photodiode_polygon: autoDraw = False
26.5982 	EXP 	Photodiode_plus: autoDraw = False
26.5982 	EXP 	Photodiode_2: autoDraw = True
26.6815 	DATA 	Mouse:  Left button up, pos=(940,1080)
26.8983 	EXP 	Photodiode_2: autoDraw = False
27.8160 	EXP 	New trial (rep=5, index=0): <Trial 5 (0 in rep 5) data={'thisN': 5, 'thisTrialN': 0, 'thisRepN': 5}>
27.8316 	EXP 	text: autoDraw = False
27.8316 	EXP 	Photodiode_2: autoDraw = False
27.8316 	EXP 	PLUS_FP: autoDraw = True
27.8316 	EXP 	Photodiode_plus: autoDraw = True
28.0315 	EXP 	Photodiode_plus: autoDraw = False
29.1481 	EXP 	PLUS_FP: autoDraw = False
29.1481 	EXP 	polygon: autoDraw = True
29.1481 	EXP 	Photodiode_polygon: autoDraw = True
29.1649 	EXP 	Photodiode_polygon: autoDraw = False
29.4668 	DATA 	Mouse: Left button down, pos=(941,1080)
