9.3487 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([ 0.  , -0.35]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.3488 	EXP 	window1: mouseVisible = False
9.3493 	EXP 	Created Photodiode_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_2', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
9.3493 	EXP 	window1: mouseVisible = False
9.3496 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0205 	EXP 	Welcome_Text: autoDraw = True
41.1050 	DATA 	Mouse: Left button down, pos=(449,560)
41.1058 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
41.1061 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
41.1218 	EXP 	Welcome_Text: autoDraw = False
41.1218 	EXP 	AVG: text = ''
41.1218 	EXP 	PLUS_FP: autoDraw = True
41.1218 	EXP 	AVG: autoDraw = True
41.1218 	EXP 	Photodiode_plus: autoDraw = True
41.1720 	DATA 	Mouse:  Left button up, pos=(449,560)
41.3223 	EXP 	Photodiode_plus: autoDraw = False
43.1065 	EXP 	PLUS_FP: autoDraw = False
43.1065 	EXP 	polygon: autoDraw = True
43.1065 	EXP 	Photodiode_polygon: autoDraw = True
43.1240 	EXP 	Photodiode_polygon: autoDraw = False
45.4598 	DATA 	Mouse: Left button down, pos=(591,666)
45.4755 	EXP 	PLUS_FP: autoDraw = False
45.4755 	EXP 	polygon: autoDraw = False
45.4755 	EXP 	AVG: autoDraw = False
45.4755 	EXP 	Photodiode_polygon: autoDraw = False
45.4755 	EXP 	Photodiode_plus: autoDraw = False
45.4755 	EXP 	Photodiode_2: autoDraw = True
45.5267 	DATA 	Mouse:  Left button up, pos=(591,665)
45.7760 	EXP 	Photodiode_2: autoDraw = False
46.7945 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
46.8101 	EXP 	text: autoDraw = False
46.8101 	EXP 	Photodiode_2: autoDraw = False
46.8101 	EXP 	AVG: text = ''
46.8101 	EXP 	PLUS_FP: autoDraw = True
46.8101 	EXP 	AVG: autoDraw = True
46.8101 	EXP 	Photodiode_plus: autoDraw = True
47.0103 	EXP 	Photodiode_plus: autoDraw = False
47.2940 	EXP 	PLUS_FP: autoDraw = False
47.2940 	EXP 	polygon: autoDraw = True
47.2940 	EXP 	Photodiode_polygon: autoDraw = True
47.3104 	EXP 	Photodiode_polygon: autoDraw = False
49.0793 	DATA 	Mouse: Left button down, pos=(556,825)
49.0955 	EXP 	PLUS_FP: autoDraw = False
49.0955 	EXP 	polygon: autoDraw = False
49.0955 	EXP 	AVG: autoDraw = False
49.0955 	EXP 	Photodiode_polygon: autoDraw = False
49.0955 	EXP 	Photodiode_plus: autoDraw = False
49.0955 	EXP 	Photodiode_2: autoDraw = True
49.1793 	DATA 	Mouse:  Left button up, pos=(556,825)
49.3957 	EXP 	Photodiode_2: autoDraw = False
50.4307 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
50.4466 	EXP 	text: autoDraw = False
50.4466 	EXP 	Photodiode_2: autoDraw = False
50.4466 	EXP 	AVG: text = ''
50.4466 	EXP 	PLUS_FP: autoDraw = True
50.4466 	EXP 	AVG: autoDraw = True
50.4466 	EXP 	Photodiode_plus: autoDraw = True
50.6467 	EXP 	Photodiode_plus: autoDraw = False
52.4315 	EXP 	PLUS_FP: autoDraw = False
52.4315 	EXP 	polygon: autoDraw = True
52.4315 	EXP 	Photodiode_polygon: autoDraw = True
52.4482 	EXP 	Photodiode_polygon: autoDraw = False
55.1677 	DATA 	Mouse: Left button down, pos=(616,844)
55.1838 	EXP 	PLUS_FP: autoDraw = False
55.1838 	EXP 	polygon: autoDraw = False
55.1838 	EXP 	AVG: autoDraw = False
55.1838 	EXP 	Photodiode_polygon: autoDraw = False
55.1838 	EXP 	Photodiode_plus: autoDraw = False
55.1838 	EXP 	Photodiode_2: autoDraw = True
55.2678 	DATA 	Mouse:  Left button up, pos=(616,844)
55.4840 	EXP 	Photodiode_2: autoDraw = False
56.6524 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
56.6684 	EXP 	text: autoDraw = False
56.6684 	EXP 	Photodiode_2: autoDraw = False
56.6684 	EXP 	AVG: text = ''
56.6684 	EXP 	PLUS_FP: autoDraw = True
56.6684 	EXP 	AVG: autoDraw = True
56.6684 	EXP 	Photodiode_plus: autoDraw = True
56.8685 	EXP 	Photodiode_plus: autoDraw = False
57.1515 	EXP 	PLUS_FP: autoDraw = False
57.1515 	EXP 	polygon: autoDraw = True
57.1515 	EXP 	Photodiode_polygon: autoDraw = True
57.1681 	EXP 	Photodiode_polygon: autoDraw = False
62.5739 	DATA 	Mouse: Left button down, pos=(554,695)
62.5900 	EXP 	PLUS_FP: autoDraw = False
62.5900 	EXP 	polygon: autoDraw = False
62.5900 	EXP 	AVG: autoDraw = False
62.5900 	EXP 	Photodiode_polygon: autoDraw = False
62.5900 	EXP 	Photodiode_plus: autoDraw = False
62.5900 	EXP 	Photodiode_2: autoDraw = True
62.7239 	DATA 	Mouse:  Left button up, pos=(548,689)
62.8903 	EXP 	Photodiode_2: autoDraw = False
63.7917 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
63.8076 	EXP 	text: autoDraw = False
63.8076 	EXP 	Photodiode_2: autoDraw = False
63.8076 	EXP 	AVG: text = ''
63.8076 	EXP 	PLUS_FP: autoDraw = True
63.8076 	EXP 	AVG: autoDraw = True
63.8076 	EXP 	Photodiode_plus: autoDraw = True
64.0080 	EXP 	Photodiode_plus: autoDraw = False
65.7927 	EXP 	PLUS_FP: autoDraw = False
65.7927 	EXP 	polygon: autoDraw = True
65.7927 	EXP 	Photodiode_polygon: autoDraw = True
65.8093 	EXP 	Photodiode_polygon: autoDraw = False
68.9793 	DATA 	Mouse: Left button down, pos=(543,701)
68.9955 	EXP 	PLUS_FP: autoDraw = False
68.9955 	EXP 	polygon: autoDraw = False
68.9955 	EXP 	AVG: autoDraw = False
68.9955 	EXP 	Photodiode_polygon: autoDraw = False
68.9955 	EXP 	Photodiode_plus: autoDraw = False
68.9955 	EXP 	Photodiode_2: autoDraw = True
69.0966 	DATA 	Mouse:  Left button up, pos=(543,701)
69.2956 	EXP 	Photodiode_2: autoDraw = False
70.5475 	EXP 	New trial (rep=5, index=0): <Trial 5 (0 in rep 5) data={'thisN': 5, 'thisTrialN': 0, 'thisRepN': 5}>
70.5633 	EXP 	text: autoDraw = False
70.5633 	EXP 	Photodiode_2: autoDraw = False
70.5633 	EXP 	AVG: text = ''
70.5633 	EXP 	PLUS_FP: autoDraw = True
70.5633 	EXP 	AVG: autoDraw = True
70.5633 	EXP 	Photodiode_plus: autoDraw = True
70.7633 	EXP 	Photodiode_plus: autoDraw = False
72.5476 	EXP 	PLUS_FP: autoDraw = False
72.5476 	EXP 	polygon: autoDraw = True
72.5476 	EXP 	Photodiode_polygon: autoDraw = True
72.5650 	EXP 	Photodiode_polygon: autoDraw = False
74.0500 	DATA 	Mouse: Left button down, pos=(528,702)
74.0663 	EXP 	PLUS_FP: autoDraw = False
74.0663 	EXP 	polygon: autoDraw = False
74.0663 	EXP 	AVG: autoDraw = False
74.0663 	EXP 	Photodiode_polygon: autoDraw = False
74.0663 	EXP 	Photodiode_plus: autoDraw = False
74.0663 	EXP 	Photodiode_2: autoDraw = True
74.1672 	DATA 	Mouse:  Left button up, pos=(528,702)
74.3663 	EXP 	Photodiode_2: autoDraw = False
75.5020 	EXP 	New trial (rep=6, index=0): <Trial 6 (0 in rep 6) data={'thisN': 6, 'thisTrialN': 0, 'thisRepN': 6}>
75.5177 	EXP 	text: autoDraw = False
75.5177 	EXP 	Photodiode_2: autoDraw = False
75.5177 	EXP 	AVG: text = ''
75.5177 	EXP 	PLUS_FP: autoDraw = True
75.5177 	EXP 	AVG: autoDraw = True
75.5177 	EXP 	Photodiode_plus: autoDraw = True
75.7175 	EXP 	Photodiode_plus: autoDraw = False
76.0013 	EXP 	PLUS_FP: autoDraw = False
76.0013 	EXP 	polygon: autoDraw = True
76.0013 	EXP 	Photodiode_polygon: autoDraw = True
76.0177 	EXP 	Photodiode_polygon: autoDraw = False
77.0192 	DATA 	Mouse: Left button down, pos=(507,711)
77.0352 	EXP 	PLUS_FP: autoDraw = False
77.0352 	EXP 	polygon: autoDraw = False
77.0352 	EXP 	AVG: autoDraw = False
77.0352 	EXP 	Photodiode_polygon: autoDraw = False
77.0352 	EXP 	Photodiode_plus: autoDraw = False
77.0352 	EXP 	Photodiode_2: autoDraw = True
77.1527 	DATA 	Mouse:  Left button up, pos=(507,711)
77.3355 	EXP 	Photodiode_2: autoDraw = False
78.3537 	EXP 	New trial (rep=7, index=0): <Trial 7 (0 in rep 7) data={'thisN': 7, 'thisTrialN': 0, 'thisRepN': 7}>
78.3694 	EXP 	text: autoDraw = False
78.3694 	EXP 	Photodiode_2: autoDraw = False
78.3694 	EXP 	AVG: text = ''
78.3694 	EXP 	PLUS_FP: autoDraw = True
78.3694 	EXP 	AVG: autoDraw = True
78.3694 	EXP 	Photodiode_plus: autoDraw = True
78.5700 	EXP 	Photodiode_plus: autoDraw = False
80.3548 	EXP 	PLUS_FP: autoDraw = False
80.3548 	EXP 	polygon: autoDraw = True
80.3548 	EXP 	Photodiode_polygon: autoDraw = True
80.3715 	EXP 	Photodiode_polygon: autoDraw = False
81.1064 	DATA 	Mouse: Left button down, pos=(539,694)
81.1221 	EXP 	PLUS_FP: autoDraw = False
81.1221 	EXP 	polygon: autoDraw = False
81.1221 	EXP 	AVG: autoDraw = False
81.1221 	EXP 	Photodiode_polygon: autoDraw = False
81.1221 	EXP 	Photodiode_plus: autoDraw = False
81.1221 	EXP 	Photodiode_2: autoDraw = True
81.2225 	DATA 	Mouse:  Left button up, pos=(539,694)
81.4223 	EXP 	Photodiode_2: autoDraw = False
82.4742 	EXP 	New trial (rep=8, index=0): <Trial 8 (0 in rep 8) data={'thisN': 8, 'thisTrialN': 0, 'thisRepN': 8}>
82.4900 	EXP 	text: autoDraw = False
82.4900 	EXP 	Photodiode_2: autoDraw = False
82.4900 	EXP 	AVG: text = ''
82.4900 	EXP 	PLUS_FP: autoDraw = True
82.4900 	EXP 	AVG: autoDraw = True
82.4900 	EXP 	Photodiode_plus: autoDraw = True
82.6901 	EXP 	Photodiode_plus: autoDraw = False
82.9736 	EXP 	PLUS_FP: autoDraw = False
82.9736 	EXP 	polygon: autoDraw = True
82.9736 	EXP 	Photodiode_polygon: autoDraw = True
82.9903 	EXP 	Photodiode_polygon: autoDraw = False
83.6250 	DATA 	Mouse: Left button down, pos=(561,695)
83.6408 	EXP 	PLUS_FP: autoDraw = False
83.6408 	EXP 	polygon: autoDraw = False
83.6408 	EXP 	AVG: autoDraw = False
83.6408 	EXP 	Photodiode_polygon: autoDraw = False
83.6408 	EXP 	Photodiode_plus: autoDraw = False
83.6408 	EXP 	Photodiode_2: autoDraw = True
83.7416 	DATA 	Mouse:  Left button up, pos=(561,693)
83.9410 	EXP 	Photodiode_2: autoDraw = False
85.1762 	EXP 	New trial (rep=9, index=0): <Trial 9 (0 in rep 9) data={'thisN': 9, 'thisTrialN': 0, 'thisRepN': 9}>
85.1922 	EXP 	text: autoDraw = False
85.1922 	EXP 	Photodiode_2: autoDraw = False
85.1922 	EXP 	AVG: text = ''
85.1922 	EXP 	PLUS_FP: autoDraw = True
85.1922 	EXP 	AVG: autoDraw = True
85.1922 	EXP 	Photodiode_plus: autoDraw = True
85.3923 	EXP 	Photodiode_plus: autoDraw = False
85.6759 	EXP 	PLUS_FP: autoDraw = False
85.6759 	EXP 	polygon: autoDraw = True
85.6759 	EXP 	Photodiode_polygon: autoDraw = True
85.6926 	EXP 	Photodiode_polygon: autoDraw = False
86.0436 	DATA 	Mouse: Left button down, pos=(560,693)
86.0595 	EXP 	PLUS_FP: autoDraw = False
86.0595 	EXP 	polygon: autoDraw = False
86.0595 	EXP 	AVG: autoDraw = False
86.0595 	EXP 	Photodiode_polygon: autoDraw = False
86.0595 	EXP 	Photodiode_plus: autoDraw = False
86.0595 	EXP 	Photodiode_2: autoDraw = True
86.1269 	DATA 	Mouse:  Left button up, pos=(560,693)
86.3598 	EXP 	Photodiode_2: autoDraw = False
87.3283 	EXP 	New trial (rep=10, index=0): <Trial 10 (0 in rep 10) data={'thisN': 10, 'thisTrialN': 0, 'thisRepN': 10}>
87.3438 	EXP 	text: autoDraw = False
87.3438 	EXP 	Photodiode_2: autoDraw = False
87.3438 	EXP 	AVG: text = ''
87.3438 	EXP 	PLUS_FP: autoDraw = True
87.3438 	EXP 	AVG: autoDraw = True
87.3438 	EXP 	Photodiode_plus: autoDraw = True
87.5441 	EXP 	Photodiode_plus: autoDraw = False
88.5284 	EXP 	PLUS_FP: autoDraw = False
88.5284 	EXP 	polygon: autoDraw = True
88.5284 	EXP 	Photodiode_polygon: autoDraw = True
88.5451 	EXP 	Photodiode_polygon: autoDraw = False
88.9124 	DATA 	Mouse: Left button down, pos=(560,693)
88.9285 	EXP 	PLUS_FP: autoDraw = False
88.9285 	EXP 	polygon: autoDraw = False
88.9285 	EXP 	AVG: autoDraw = False
88.9285 	EXP 	Photodiode_polygon: autoDraw = False
