thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.010451500013004988,0.026726300013251603,0.010235399997327477,0.7143581000273116,[-0.041666666666666664],[-0.07166666666666667],[1],[0],[0],[0.7035590000450611],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
0,0,0,[-0.043333333333333335],[-0.06833333333333333],[1],[0],[0],[2.264375199971255],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0.7265213000355288,,,,,,,,,,,,0.7152738000149839,0.7265213000355288,0.0008575000101700425,0.7265213000355288,0.927733900025487,2.726608800003305,2.726608800003305,2.726608800003305,2.743328600015957,2.98000320000574,2,task,0.2643751999712549,[-0.043333333333333335],[-0.06833333333333333],[1],[0],[0],[2.264375199971255],2.9802213000366464,2.993529800034594,0.0001395999570377171,3.2942965000402182,4.280275800032541,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
1,0,1,[0.05333333333333334],[0.16333333333333333],[1],[0],[0],[0.8143843999714591],[],[],[],[],[],[],0,0,0,0,1,0,1,0,4.2938536000438035,,,,,,,,,,,,4.2804776999983005,4.2938536000438035,0.0001542000100016594,4.2938536000438035,4.493659400031902,4.794472100038547,4.794472100038547,4.794472100038547,4.8109044000157155,5.095296800020151,0.5,task,0.31438439997145906,[0.05333333333333334],[0.16333333333333333],[1],[0],[0],[0.8143843999714591],5.095541800023057,5.110616600024514,0.00015380000695586205,5.411060600017663,6.78037019999465,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
2,0,2,[0.05333333333333334],[0.16333333333333333],[1],[0],[0],[0.832584300020244],[],[],[],[],[],[],0,0,0,0,2,0,2,0,6.793642700009514,,,,,,,,,,,,6.7805716000148095,6.793642700009514,0.00017150002531707287,6.793642700009514,6.994253900018521,7.29374990001088,7.29374990001088,7.29374990001088,7.3105668000062,7.613590000022668,0.5,task,0.332584300020244,[0.05333333333333334],[0.16333333333333333],[1],[0],[0],[0.832584300020244],7.6138959000236355,7.626941399998032,0.0002180000301450491,7.927327800018247,9.14565300004324,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
3,0,3,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[0.800298499991186],[],[],[],[],[],[],0,0,0,0,3,0,3,0,9.160557400027756,,,,,,,,,,,,9.145815199997742,9.160557400027756,0.000125700025819242,9.160557400027756,9.360327300033532,9.660362700000405,9.660362700000405,9.660362700000405,9.677174900018144,9.946472799987532,0.5,task,0.30029849999118596,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[0.800298499991186],9.946685400034767,9.96012669999618,0.00014109996845945716,10.260447800043039,11.51441360003082,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
4,0,4,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[0.9162735000136308],[],[],[],[],[],[],0,0,0,0,4,0,4,0,11.527356200036593,,,,,,,,,,,,11.514717800018843,11.527356200036593,0.00022869999520480633,11.527356200036593,11.727454700041562,12.027869999990799,12.027869999990799,12.027869999990799,12.044346900016535,12.431847200030461,0.5,task,0.41627350001363084,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[0.9162735000136308],12.432208200043533,12.443776400003117,0.00022739998530596495,12.744225400034338,14.01341210003011,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
5,0,5,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[2.7006748000276275],[],[],[],[],[],[],0,0,0,0,5,0,5,0,14.026917600014713,,,,,,,,,,,,14.013601000013296,14.026917600014713,0.00014479999663308263,14.026917600014713,14.227166399999987,16.026850700029172,16.026850700029172,16.026850700029172,16.04395280004246,16.714897600002587,2,task,0.7006748000276275,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[2.7006748000276275],16.715322000032756,16.727380500000436,0.00029479997465386987,17.027261100010946,18.18078019999666,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
6,0,6,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[0.8824470000108704],[],[],[],[],[],[],0,0,0,0,6,0,6,0,18.19379879999906,,,,,,,,,,,,18.180988600011915,18.19379879999906,0.00016160000814124942,18.19379879999906,18.393860100011807,18.694283000018913,18.694283000018913,18.694283000018913,18.710936499992386,19.063820699986536,0.5,task,0.3824470000108704,[0.056666666666666664],[0.16333333333333333],[1],[0],[0],[0.8824470000108704],19.064047600026242,19.076945999986492,0.00015279999934136868,19.377483599993866,20.646175100002438,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
7,0,7,[0.058333333333333334],[0.16666666666666666],[1],[0],[0],[1.7329522999934852],[],[],[],[],[],[],0,0,0,0,7,0,7,0,20.66055900003994,,,,,,,,,,,,20.646356300043408,20.66055900003994,0.00014209997607395053,20.66055900003994,20.860484700009692,22.06062290002592,22.06062290002592,22.06062290002592,22.07729109999491,22.379753899993375,1.4130900342778832,task,0.31986226571560206,[0.058333333333333334],[0.16666666666666666],[1],[0],[0],[1.7329522999934852],22.379951500042807,22.393587500031572,0.00011570000788196921,22.694354900042526,23.846376800036523,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
8,0,8,[0.05],[0.16666666666666666],[1],[0],[0],[1.5665708999731578],[],[],[],[],[],[],0,0,0,0,8,0,8,0,23.86036500002956,,,,,,,,,,,,23.84653919999255,23.86036500002956,0.00013930001296103,23.86036500002956,24.06058779999148,24.960653299989644,24.960653299989644,24.960653299989644,24.977054100017995,25.413696000003256,1.1113582626202927,task,0.4552126373528651,[0.05],[0.16666666666666666],[1],[0],[0],[1.5665708999731578],25.41398890002165,25.42760970001109,0.00018229999113827944,25.72734790004324,26.630591300025117,[],[],[],[],[],[],335500,001,2025-01-28_11h37.47.514,Foreperiod_task,2024.2.1post4,60.167747683044446,2025-01-28 11h37.51.091817 -0800,
