5.5451 	EXP 	PLUS_FP: autoDraw = False
5.5451 	EXP 	polygon: autoDraw = True
5.5451 	EXP 	Photodiode_polygon: autoDraw = True
5.5618 	EXP 	Photodiode_polygon: autoDraw = False
5.7960 	DATA 	Mouse: Left button down, pos=(916,720)
5.8123 	EXP 	PLUS_FP: autoDraw = False
5.8123 	EXP 	polygon: autoDraw = False
5.8123 	EXP 	AVG: autoDraw = False
5.8123 	EXP 	Photodiode_polygon: autoDraw = False
5.8123 	EXP 	Photodiode_plus: autoDraw = False
5.8123 	EXP 	Photodiode_2: autoDraw = True
5.8966 	DATA 	Mouse:  Left button up, pos=(916,720)
6.1126 	EXP 	Photodiode_2: autoDraw = False
7.4473 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
7.4636 	EXP 	text: autoDraw = False
7.4636 	EXP 	Photodiode_2: autoDraw = False
7.4636 	EXP 	AVG: text = ''
7.4636 	EXP 	PLUS_FP: autoDraw = True
7.4636 	EXP 	AVG: autoDraw = True
7.4636 	EXP 	Photodiode_plus: autoDraw = True
7.6637 	EXP 	Photodiode_plus: autoDraw = False
9.4487 	EXP 	PLUS_FP: autoDraw = False
9.4487 	EXP 	polygon: autoDraw = True
9.4487 	EXP 	Photodiode_polygon: autoDraw = True
9.4654 	EXP 	Photodiode_polygon: autoDraw = False
9.7993 	DATA 	Mouse: Left button down, pos=(900,726)
9.8157 	EXP 	PLUS_FP: autoDraw = False
9.8157 	EXP 	polygon: autoDraw = False
9.8157 	EXP 	AVG: autoDraw = False
9.8157 	EXP 	Photodiode_polygon: autoDraw = False
9.8157 	EXP 	Photodiode_plus: autoDraw = False
9.8157 	EXP 	Photodiode_2: autoDraw = True
9.9167 	DATA 	Mouse:  Left button up, pos=(900,726)
10.1162 	EXP 	Photodiode_2: autoDraw = False
11.4842 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
11.5006 	EXP 	text: autoDraw = False
11.5006 	EXP 	Photodiode_2: autoDraw = False
11.5006 	EXP 	AVG: text = ''
11.5006 	EXP 	PLUS_FP: autoDraw = True
11.5006 	EXP 	AVG: autoDraw = True
11.5006 	EXP 	Photodiode_plus: autoDraw = True
11.7002 	EXP 	Photodiode_plus: autoDraw = False
13.4858 	EXP 	PLUS_FP: autoDraw = False
13.4858 	EXP 	polygon: autoDraw = True
13.4858 	EXP 	Photodiode_polygon: autoDraw = True
13.5025 	EXP 	Photodiode_polygon: autoDraw = False
13.7196 	DATA 	Mouse: Left button down, pos=(991,843)
13.7358 	EXP 	PLUS_FP: autoDraw = False
13.7358 	EXP 	polygon: autoDraw = False
13.7358 	EXP 	AVG: autoDraw = False
13.7358 	EXP 	Photodiode_polygon: autoDraw = False
13.7358 	EXP 	Photodiode_plus: autoDraw = False
13.7358 	EXP 	Photodiode_2: autoDraw = True
13.8196 	DATA 	Mouse:  Left button up, pos=(991,843)
14.0361 	EXP 	Photodiode_2: autoDraw = False
