thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[2.3189415000379086],,,,0,0,0,0,9,0,9,0,62.903568900190294,,,,,,,,,,,,62.88794060051441,62.903568900190294,0.00030159950256347656,62.903568900190294,62.903568900190294,63.10374990012497,64.88877429999411,64.88877429999411,64.88877429999411,64.90585790015757,65.2077048998326,2,normal,0.31894150003790855,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[2.3189415000379086],65.2082309005782,65.22150720003992,65.52241310011595,66.62352150026709,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
10,0,10,[-0.6370370370370371],[0.5],[1],[0],[0],[1.034799600020051],,,,0,0,0,0,10,0,10,0,66.6398991998285,,,,,,,,,,,,66.62364360038191,66.6398991998285,0.00012829992920160294,66.6398991998285,66.6398991998285,66.84033360052854,67.12394310068339,67.12394310068339,67.12394310068339,67.14049889985472,67.65920780040324,0.5,normal,0.534799600020051,[-0.6370370370370371],[0.5],[1],[0],[0],[1.034799600020051],67.65965929999948,67.67429880052805,67.9744877004996,69.00942610017955,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
11,0,11,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[1.0512447003275156],,,,0,0,0,0,11,0,11,0,69.02541700005531,,,,,,,,,,,,69.00975870061666,69.02541700005531,0.0003405008465051651,69.02541700005531,69.02541700005531,69.22545630019158,69.50924019981176,69.50924019981176,69.50924019981176,69.52585780061781,70.06199409998953,0.5,normal,0.5512447003275156,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[1.0512447003275156],70.06269829999655,70.0764025002718,70.37676070071757,71.6783386003226,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
12,0,12,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.3185414001345634],,,,0,0,0,0,12,0,12,0,71.69428149983287,,,,,,,,,,,,71.67863630037755,71.69428149983287,0.000315200537443161,71.69428149983287,71.69428149983287,71.89464720059186,73.6792863002047,73.6792863002047,73.6792863002047,73.6960529005155,73.99813420046121,2,normal,0.31854140013456345,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.3185414001345634],73.99870519991964,74.01310000009835,74.3131698006764,75.19768440071493,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
13,0,13,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.302159900777042],,,,0,0,0,0,13,0,13,0,75.21338979993016,,,,,,,,,,,,75.19791290070862,75.21338979993016,0.0002418002113699913,75.21338979993016,75.21338979993016,75.41410700045526,77.19892300013453,77.19892300013453,77.19892300013453,77.21558510046452,77.50084970053285,2,normal,0.3021599007770419,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.302159900777042],77.5012682005763,77.51559349987656,77.81604880001396,78.85082199983299,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
14,0,14,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.4690298000350595],,,,0,0,0,0,14,0,14,0,78.866869000718,,,,,,,,,,,,78.85110910050571,78.866869000718,0.00030320044606924057,78.866869000718,78.866869000718,79.0671613002196,80.85192870069295,80.85192870069295,80.85192870069295,80.86863100063056,81.32108089979738,2,normal,0.46902980003505945,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.4690298000350595],81.32165910024196,81.3356917006895,81.63551599998027,82.8209334006533,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
15,0,15,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.9504827000200748],,,,0,0,0,0,15,0,15,0,82.83690100070089,,,,,,,,,,,,82.82121740002185,82.83690100070089,0.0003105001524090767,82.83690100070089,82.83690100070089,83.03694020025432,83.32065710052848,83.32065710052848,83.32065710052848,83.33726490009576,83.77251469995826,0.5,normal,0.45048270002007484,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.9504827000200748],83.77292839996517,83.7876070998609,84.0878689000383,85.35640950035304,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
16,0,16,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[1.2507869992405176],,,,0,0,0,0,16,0,16,0,85.37180100008845,,,,,,,,,,,,85.3567048003897,85.37180100008845,0.0003054998815059662,85.37180100008845,85.37180100008845,85.57213950064033,85.8560637999326,85.8560637999326,85.8560637999326,85.87272550072521,86.60842100065202,0.5,normal,0.7507869992405176,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[1.2507869992405176],86.60887760017067,86.62360120005906,86.92366770002991,88.02553670015186,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
17,0,17,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.9001901997253299],,,,0,0,0,0,17,0,17,0,88.04111130069941,,,,,,,,,,,,88.02585600037128,88.04111130069941,0.0003324998542666435,88.04111130069941,88.04111130069941,88.2413910003379,88.52498139999807,88.52498139999807,88.52498139999807,88.54178590048105,88.9267803998664,0.5,normal,0.4001901997253299,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.9001901997253299],88.92716309987009,88.94194470066577,89.24221410043538,90.59396000020206,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
18,0,18,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.318729399703443],,,,0,0,0,0,18,0,18,0,90.61006790027022,,,,,,,,,,,,90.5942280003801,90.61006790027022,0.0002782996743917465,90.61006790027022,90.61006790027022,90.81028799992055,92.5949463006109,92.5949463006109,92.5949463006109,92.6116523006931,92.91381390020251,2,normal,0.31872939970344305,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.318729399703443],92.9142760001123,92.92883970029652,93.22874820046127,94.49717400036752,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
19,0,19,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.8339892998337746],,,,0,0,0,0,19,0,19,0,94.51326100062579,,,,,,,,,,,,94.49740700051188,94.51326100062579,0.00024820026010274887,94.51326100062579,94.51326100062579,94.71338750049472,94.99700199998915,94.99700199998915,94.99700199998915,95.01368540059775,95.33230360038579,0.5,normal,0.33398929983377457,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.8339892998337746],95.33286979980767,95.34750690031797,95.64746140036732,96.78245430067182,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
20,0,20,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.351771400310099],,,,0,0,0,0,20,0,20,0,96.79850499983877,,,,,,,,,,,,96.78273530025035,96.79850499983877,0.0002972995862364769,96.79850499983877,96.79850499983877,96.9990046005696,98.78341659996659,98.78341659996659,98.78341659996659,98.80011600069702,99.13537729997188,2,normal,0.3517714003100991,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[2.351771400310099],99.13578409980983,99.15050280001014,99.45060590002686,100.50221659988165,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
21,0,21,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.8670848999172449],,,,0,0,0,0,21,0,21,0,100.51828160043806,,,,,,,,,,,,100.50251770019531,100.51828160043806,0.00031999964267015457,100.51828160043806,100.51828160043806,100.71834059990942,101.00196539983153,101.00196539983153,101.00196539983153,101.01875430066139,101.37038329988718,0.5,normal,0.3670848999172449,[-0.6222222222222222],[0.4666666666666667],[1],[0],[0],[0.8670848999172449],101.37077660020441,101.38561649993062,101.68583209998906,102.9876339007169,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
22,0,22,[-0.6101851851851852],[0.4638888888888889],[1],[0],[0],[2.3346223002299666],,,,0,0,0,0,22,0,22,0,103.00361619982868,,,,,,,,,,,,102.98791659995914,103.00361619982868,0.0002957005053758621,103.00361619982868,103.00361619982868,103.20374790020287,104.98863499984145,104.98863499984145,104.98863499984145,105.0052371006459,105.32332180067897,2,normal,0.33462230022996664,[-0.6101851851851852],[0.4638888888888889],[1],[0],[0],[2.3346223002299666],105.32371489983052,105.3389365002513,105.63929039984941,106.60733850020915,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
23,0,23,[-0.6101851851851852],[0.4638888888888889],[1],[0],[0],[2.318237000145018],,,,0,0,0,0,23,0,23,0,106.62330290023237,,,,,,,,,,,,106.60760030057281,106.62330290023237,0.0002765003591775894,106.62330290023237,106.62330290023237,106.823496600613,108.60836520045996,108.60836520045996,108.60836520045996,108.62496209982783,108.92660749983042,2,normal,0.3182370001450181,[-0.6101851851851852],[0.4638888888888889],[1],[0],[0],[2.318237000145018],108.92702870070934,108.94190660025924,109.24232840072364,110.49287990015,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
