thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,PLUS_FP.stopped,polygon.started,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Period.stopped,Photodiode_2.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
94,0,94,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[2.3018084997311234],,,,0,0,0,0,94,0,94,0,296.0990160005167,,,,,,,,,,,,296.08341090008616,296.0990160005167,0.0003043999895453453,296.0990160005167,298.08423450030386,298.08423450030386,298.3860322004184,2,normal,0.30180849973112345,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[2.3018084997311234],298.38645619992167,298.40123740024865,300.0530193001032,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
95,0,95,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[2.2851962000131607],,,,0,0,0,0,95,0,95,0,300.0690852999687,,,,,,,,,,,,300.05324599985033,300.0690852999687,0.0002330997958779335,300.0690852999687,302.054009700194,302.054009700194,302.3391057997942,2,normal,0.2851962000131607,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[2.2851962000131607],302.33946700021625,302.3542573004961,303.82261690031737,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
96,0,96,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[1.8012982998043299],,,,0,0,0,0,96,0,96,0,303.8389640999958,,,,,,,,,,,,303.82297450024635,303.8389640999958,0.0003682998940348625,303.8389640999958,305.3234456004575,305.3234456004575,305.62528649996966,1.4969231227561284,surprise,0.3043751770482015,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[1.8012982998043299],305.6256478000432,305.640630800277,307.1757107004523,307.14159459993243,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
97,0,97,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[1.5177915999665856],,,,0,0,0,0,97,0,97,0,307.1915701003745,,,,,,,,,,,,307.1759980004281,307.1915701003745,0.00028960034251213074,307.1915701003745,308.3592896005139,308.3592896005139,308.69463030062616,1.1819084292223871,surprise,0.3358831707441985,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[1.5177915999665856],308.6950850998983,308.7097113998607,309.97811220027506,309.89384699985385,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
98,0,98,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[0.9002430997788906],,,,0,0,0,0,98,0,98,0,309.99397459998727,,,,,,,,,,,,309.97837920021266,309.99397459998727,0.0002761995419859886,309.99397459998727,310.4777367999777,310.4777367999777,310.879375600256,0.5,normal,0.4002430997788906,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[0.9002430997788906],310.87979230005294,310.8947494002059,312.4969624001533,311.3951003998518,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
99,0,99,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[2.3179933996871114],,,,0,0,0,0,99,0,99,0,312.5128255998716,,,,,,,,,,,,312.4972240002826,312.5128255998716,0.0002684006467461586,312.5128255998716,314.4977569999173,314.4977569999173,314.8159015001729,2,normal,0.3179933996871114,[0.009259259259259259],[0.13425925925925927],[1],[0],[0],[2.3179933996871114],314.81635079998523,314.83148530032486,316.19877640064806,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
0,0,0,,,,,,,space,15.038169899955392,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.21195149980485,316.21578119974583,317.2000018004328,332.25226130057126,space,15.038169899955392,None,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
0,0,0,[0.010185185185185186],[0.13425925925925927],[1],[0],[0],[2.345185700803995],,,,1,0,1,0,0,0,0,0,332.2621022006497,,,,,,,,,,,,332.25307560060173,332.2621022006497,0.0007567992433905602,332.2621022006497,334.2642147000879,334.2642147000879,334.5989850005135,2,normal,0.34518570080399513,[0.010185185185185186],[0.13425925925925927],[1],[0],[0],[2.345185700803995],334.5995375001803,334.6145336003974,335.8996753003448,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
1,0,1,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.285058899782598],,,,1,0,1,0,1,0,1,0,335.91558170039207,,,,,,,,,,,,335.8999773003161,335.91558170039207,0.00030830036848783493,335.91558170039207,337.90065119974315,337.90065119974315,338.1858056001365,2,normal,0.285058899782598,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.285058899782598],338.1863254001364,338.20084619987756,339.78630380053073,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
2,0,2,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.7836211994290352],,,,1,0,1,0,2,0,2,0,339.8020126000047,,,,,,,,,,,,339.78653089981526,339.8020126000047,0.00022799987345933914,339.8020126000047,340.28585630003363,340.28585630003363,340.57092230021954,0.5,normal,0.2836211994290352,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.7836211994290352],340.57161480002105,340.58609069976956,342.13808290008456,341.0864193998277,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
3,0,3,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.2852838998660445],,,,1,0,1,0,3,0,3,0,342.1540763005614,,,,,,,,,,,,342.13834649976343,342.1540763005614,0.00028350017964839935,342.1540763005614,344.1392043000087,344.1392043000087,344.42453659977764,2,normal,0.2852838998660445,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.2852838998660445],344.42518180049956,344.43929210025817,345.75763380061835,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
4,0,4,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.285258499905467],,,,1,0,1,0,4,0,4,0,345.7739035002887,,,,,,,,,,,,345.75786919984967,345.7739035002887,0.00024230033159255981,345.7739035002887,347.7588905002922,347.7588905002922,348.0438914997503,2,normal,0.28525849990546703,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.285258499905467],348.0444534001872,348.05914130061865,349.31075480021536,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
5,0,5,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8332871999591589],,,,1,0,1,0,5,0,5,0,349.326843299903,,,,,,,,,,,,349.31103210058063,349.326843299903,0.00028690043836832047,349.326843299903,349.81089220009744,349.81089220009744,350.14521010033786,0.5,normal,0.3332871999591589,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8332871999591589],350.1457043001428,350.16073190048337,351.6627465998754,350.66112720035017,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
6,0,6,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.285191500559449],,,,1,0,1,0,6,0,6,0,351.67868109978735,,,,,,,,,,,,351.6630132999271,351.67868109978735,0.0002758000046014786,351.67868109978735,353.66370460018516,353.66370460018516,353.9491068003699,2,normal,0.2851915005594492,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.285191500559449],353.9496357999742,353.96390200033784,355.63266390003264,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
7,0,7,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.9172196993604302],,,,1,0,1,0,7,0,7,0,355.64866080041975,,,,,,,,,,,,355.63292970042676,355.64866080041975,0.0002798996865749359,355.64866080041975,356.13170950021595,356.13170950021595,356.55088130012155,0.5,normal,0.41721969936043024,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.9172196993604302],356.55128540005535,356.5660548005253,357.734386600554,357.0663790004328,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
8,0,8,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.816873099654913],,,,1,0,1,0,8,0,8,0,357.7503669001162,,,,,,,,,,,,357.7346684001386,357.7503669001162,0.0002862997353076935,357.7503669001162,358.23420600034297,358.23420600034297,358.5522353006527,0.5,normal,0.31687309965491295,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.816873099654913],358.5526203000918,358.5675106002018,359.7527691004798,359.0678807999939,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
9,0,9,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.301038400270045],,,,1,0,1,0,9,0,9,0,359.7687598997727,,,,,,,,,,,,359.75305180065334,359.7687598997727,0.00031259935349226,359.7687598997727,361.753870700486,361.753870700486,362.05483970046043,2,normal,0.3010384002700448,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.301038400270045],362.05521710030735,362.07063310034573,363.73838800005615,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
10,0,10,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.302759200334549],,,,1,0,1,0,10,0,10,0,363.75552310049534,,,,,,,,,,,,363.7385400002822,363.75552310049534,0.00015200022608041763,363.75552310049534,365.7403046004474,365.7403046004474,366.0419362001121,2,normal,0.30275920033454895,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.302759200334549],366.04231700021774,366.05735629983246,367.6261392002925,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
11,0,11,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3014540001749992],,,,1,0,1,0,11,0,11,0,367.6420026998967,,,,,,,,,,,,367.6264141006395,367.6420026998967,0.00028670020401477814,367.6420026998967,369.6269719004631,369.6269719004631,369.9285721005872,2,normal,0.30145400017499924,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3014540001749992],369.92891679983586,369.943805700168,371.49579889979213,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
12,0,12,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8837967999279499],,,,1,0,1,0,12,0,12,0,371.5118295997381,,,,,,,,,,,,371.49606010038406,371.5118295997381,0.000269399955868721,371.5118295997381,371.99582479987293,371.99582479987293,372.3806817000732,0.5,normal,0.3837967999279499,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8837967999279499],372.38109990023077,372.3959699999541,373.64754140004516,372.89639340061694,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
13,0,13,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8009585002437234],,,,1,0,1,0,13,0,13,0,373.66363260056823,,,,,,,,,,,,373.6478014998138,373.66363260056823,0.00026830006390810013,373.66363260056823,374.14726340025663,374.14726340025663,374.4494949998334,0.5,normal,0.3009585002437234,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8009585002437234],374.4498594002798,374.46451759990305,375.7326373998076,374.96464050002396,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
14,0,14,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3019391996786],,,,1,0,1,0,14,0,14,0,375.7486164001748,,,,,,,,,,,,375.7330328999087,375.7486164001748,0.00040300004184246063,375.7486164001748,377.73371030017734,377.73371030017734,378.03593329992145,2,normal,0.30193919967859983,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3019391996786],378.0364917004481,378.05091719981283,379.5024057002738,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
15,0,15,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3019807003438473],,,,1,0,1,0,15,0,15,0,379.518497900106,,,,,,,,,,,,379.5026291003451,379.518497900106,0.00022870022803544998,379.518497900106,381.503406399861,381.503406399861,381.80539640039206,2,normal,0.3019807003438473,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3019807003438473],381.8058486999944,381.8204594999552,383.3889490002766,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
16,0,16,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8174751996994019],,,,1,0,1,0,16,0,16,0,383.405000500381,,,,,,,,,,,,383.38922160025686,383.405000500381,0.0002830997109413147,383.405000500381,383.88835620041937,383.88835620041937,384.20746180042624,0.5,normal,0.31747519969940186,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8174751996994019],384.2078531999141,384.2224820004776,385.6908771004528,384.7229863004759,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
17,0,17,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.302352000027895],,,,1,0,1,0,17,0,17,0,385.706925900653,,,,,,,,,,,,385.69113240018487,385.706925900653,0.00026190001517534256,385.706925900653,387.69210090022534,387.69210090022534,387.99435340054333,2,normal,0.302352000027895,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.302352000027895],387.99483020044863,388.00911230035126,389.56109319999814,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
18,0,18,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.351177600212395],,,,1,0,1,0,18,0,18,0,389.57724510040134,,,,,,,,,,,,389.5613943003118,389.57724510040134,0.0003074994310736656,389.57724510040134,391.56208570022136,391.56208570022136,391.91335850022733,2,normal,0.3511776002123952,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.351177600212395],391.91376840043813,391.9289600998163,393.46431570034474,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
19,0,19,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8497283002361655],,,,1,0,1,0,19,0,19,0,393.4802958006039,,,,,,,,,,,,393.4646273003891,393.4802958006039,0.00030060019344091415,393.4802958006039,393.9638780001551,393.9638780001551,394.3150008004159,0.5,normal,0.3497283002361655,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.8497283002361655],394.31530820019543,394.33091450016946,395.58266280032694,394.83139370009303,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
20,0,20,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.334805100224912],,,,1,0,1,0,20,0,20,0,395.59876010008156,,,,,,,,,,,,395.58294610027224,395.59876010008156,0.000296800397336483,395.59876010008156,397.5838184999302,397.5838184999302,397.91859490051866,2,normal,0.33480510022491217,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.334805100224912],397.9189871000126,397.9341870006174,399.5692966999486,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
21,0,21,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3685460994020104],,,,1,0,1,0,21,0,21,0,399.5851790998131,,,,,,,,,,,,399.56958380062133,399.5851790998131,0.0002955002710223198,399.5851790998131,401.5703520998359,401.5703520998359,401.9389829998836,2,normal,0.36854609940201044,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3685460994020104],401.9394468003884,401.95387980062515,403.1723309997469,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
22,0,22,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.9503468004986644],,,,1,0,1,0,22,0,22,0,403.1881664004177,,,,,,,,,,,,403.17261020001024,403.1881664004177,0.0002776002511382103,403.1881664004177,403.67186020035297,403.67186020035297,404.12371100019664,0.5,normal,0.4503468004986644,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[0.9503468004986644],404.1241028998047,404.13908580038697,405.7578250998631,404.63972720038146,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
23,0,23,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3183011999353766],,,,1,0,1,0,23,0,23,0,405.77372760046273,,,,,,,,,,,,405.7580917002633,405.77372760046273,0.00027609989047050476,405.77372760046273,407.7587748002261,407.7587748002261,408.0771930003539,2,normal,0.31830119993537664,[0.012037037037037037],[0.13425925925925927],[1],[0],[0],[2.3183011999353766],408.0776257002726,408.09240000043064,409.4442416001111,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
24,0,24,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.301638100296259],,,,1,0,1,0,24,0,24,0,409.46010570041835,,,,,,,,,,,,409.44455169979483,409.46010570041835,0.0003146994858980179,409.46010570041835,411.44537950027734,411.44537950027734,411.74705130048096,2,normal,0.3016381002962589,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.301638100296259],411.74750130064785,411.76218350045383,412.96389080025256,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
25,0,25,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8837812002748251],,,,1,0,1,0,25,0,25,0,412.97987719997764,,,,,,,,,,,,412.9641746999696,412.97987719997764,0.0002905000001192093,412.97987719997764,413.46382640022784,413.46382640022784,413.84867940004915,0.5,normal,0.3837812002748251,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8837812002748251],413.8490673005581,413.8639139002189,415.3824364999309,414.3642891002819,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
26,0,26,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.3512105997651815],,,,1,0,1,0,26,0,26,0,415.39831680059433,,,,,,,,,,,,415.3827710999176,415.39831680059433,0.0003353999927639961,415.39831680059433,417.383359500207,417.383359500207,417.7347916997969,2,normal,0.35121059976518154,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.3512105997651815],417.73522850032896,417.75035629980266,418.98547630012035,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
27,0,27,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.3008330995216966],,,,1,0,1,0,27,0,27,0,419.0013610003516,,,,,,,,,,,,418.98581469990313,419.0013610003516,0.0003473004326224327,419.0013610003516,420.9863841999322,420.9863841999322,421.2872294001281,2,normal,0.30083309952169657,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.3008330995216966],421.28753530047834,421.30322859995067,422.85531430039555,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
28,0,28,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8002733001485467],,,,1,0,1,0,28,0,28,0,422.8712546005845,,,,,,,,,,,,422.85559220053256,422.8712546005845,0.0002858005464076996,422.8712546005845,423.3549749003723,423.3549749003723,423.6567175006494,0.5,normal,0.3002733001485467,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8002733001485467],423.6572040002793,423.67199350055307,425.0071128997952,424.1722365003079,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
29,0,29,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.3846995001658797],,,,1,0,1,0,29,0,29,0,425.022986500524,,,,,,,,,,,,425.0074159000069,425.022986500524,0.000287800095975399,425.022986500524,427.00806130003184,427.00806130003184,427.39276630058885,2,normal,0.3846995001658797,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.3846995001658797],427.3931013001129,427.4084654003382,428.6601816006005,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
30,0,30,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.833228999748826],,,,1,0,1,0,30,0,30,0,428.6761786006391,,,,,,,,,,,,428.66043519973755,428.6761786006391,0.0002592001110315323,428.6761786006391,429.16011629998684,429.16011629998684,429.49444709997624,0.5,normal,0.333228999748826,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.833228999748826],429.4948797002435,429.5101479999721,430.96225740015507,430.0101028997451,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
31,0,31,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8504740996286273],,,,1,0,1,0,31,0,31,0,430.9777827002108,,,,,,,,,,,,430.96256530005485,430.9777827002108,0.0003166003152728081,430.9777827002108,431.4617255004123,431.4617255004123,431.81394940055907,0.5,normal,0.3504740996286273,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8504740996286273],431.8144933003932,431.82890990003943,433.1638398002833,432.3292666999623,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
32,0,32,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.2849655002355576],,,,1,0,1,0,32,0,32,0,433.17972490005195,,,,,,,,,,,,433.16410579998046,433.17972490005195,0.00027429964393377304,433.17972490005195,435.1647615004331,435.1647615004331,435.4498439002782,2,normal,0.28496550023555756,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[2.2849655002355576],435.4501886004582,435.46506960038096,436.8502863999456,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
33,0,33,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[1.1839942997321486],,,,1,0,1,0,33,0,33,0,436.8660788005218,,,,,,,,,,,,436.8506044000387,436.8660788005218,0.0003255000337958336,436.8660788005218,437.3498923005536,437.3498923005536,438.03525040019304,0.5,normal,0.6839942997321486,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[1.1839942997321486],438.0356058003381,438.0505819004029,439.3181451000273,438.55090270005167,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
34,0,34,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[1.0178437996655703],,,,1,0,1,0,34,0,34,0,439.3346925005317,,,,,,,,,,,,439.31830069981515,439.3346925005317,0.00014789961278438568,439.3346925005317,439.8188236001879,439.8188236001879,440.3368626004085,0.5,normal,0.5178437996655703,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[1.0178437996655703],440.33727730065584,440.35246900003403,441.9377522999421,440.85274820029736,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
35,0,35,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.783938099630177],,,,1,0,1,0,35,0,35,0,441.9537919005379,,,,,,,,,,,,441.93804800044745,441.9537919005379,0.0003060000017285347,441.9537919005379,442.4372647004202,442.4372647004202,442.72268689982593,0.5,normal,0.283938099630177,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.783938099630177],442.7230671001598,442.73787980061024,444.20650629978627,443.23816690035164,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
36,0,36,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8668530005961657],,,,1,0,1,0,36,0,36,0,444.2222806001082,,,,,,,,,,,,444.20681450050324,444.2222806001082,0.00030639953911304474,444.2222806001082,444.70603650063276,444.70603650063276,445.0745171001181,0.5,normal,0.36685300059616566,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.8668530005961657],445.0750799002126,445.08973649982363,446.5248941006139,445.5903163999319,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
37,0,37,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.7999747004359961],,,,1,0,1,0,37,0,37,0,446.5408358005807,,,,,,,,,,,,446.52522830013186,446.5408358005807,0.00033999979496002197,446.5408358005807,447.0246969005093,447.0246969005093,447.32588620018214,0.5,normal,0.29997470043599606,[0.012037037037037037],[0.13796296296296295],[1],[0],[0],[0.7999747004359961],447.3263247003779,447.34079090040177,448.52663470059633,447.8422328000888,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
